time_slice_type,time_slice,family,family_type,all_winners_denominator,winner_coverage_recall,total_signals,evaluable_signals,winner_signals,precision_all_signals,precision_evaluable_signals,gross_mean,net_mean,median,profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,top1_removed_count,top1_removed_gross,top1_removed_pf,top5_removed_count,top5_removed_gross,top5_removed_pf,tail_dependent
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,FROZEN_SETUP,21536,0.0010679791976225853,198,198,23,0.11616161616161616,0.11616161616161616,-0.004052416455465663,-0.009817292012943703,-0.00924978687127015,0.8262464344601806,-0.0024127084930163074,-0.0058393399197133695,-0.007165167174353316,-3.2784468540353607e-05,0.015465549640757834,-0.02497258841455047,0.028797335995664208,-0.0346358470975923,0.8314315487801667,0.08585858585858586,0.025252525252525252,1,-0.004895832054838608,0.7911438815111124,5,-0.0076016067209651456,0.682300032086915,False
YEAR,2020,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,DESCRIPTIVE_COHORT,21536,0.2716846210995542,27385,27240,5851,0.21365711155742195,0.21479441997063142,0.00421157796106508,-0.0015999016514278116,-0.00320770053916114,1.1603404659151808,-0.0028534364536508135,-0.00018841200018151542,0.0020693531683688153,0.010780961352023517,0.028918976180690996,-0.028291719252971307,0.05484115169049172,-0.04327908676565576,1.2671513146162563,0.16497797356828195,0.09111600587371513,130,0.003371143706067819,1.12773148971724,646,0.0004477904218190674,1.0166436915213115,False
YEAR,2020,RETURN20_TOP20PCT_SAME_DAY,DESCRIPTIVE_COHORT,21536,0.2679234769687964,19320,19228,5770,0.29865424430641824,0.30008321198252547,0.0023787727086295035,-0.0034216399205325818,-0.02098569369561737,1.0678634490812793,-0.0035097410113604124,0.0005796492339105176,0.004982472455471297,0.014428065706339982,0.04152479888426923,-0.03862867816193535,0.07718622336640787,-0.06028973350498868,1.2802548440526957,0.24360307884335344,0.15378614520490952,86,0.0015680012234366727,1.0445330639939456,427,-0.0014260797439250392,0.9602191894049908,False
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,FROZEN_SETUP,29304,0.0004436254436254436,47,47,13,0.2765957446808511,0.2765957446808511,-0.005680025553867719,-0.01143132690674744,-0.05069124423963134,0.847443711140602,-0.007078119437759182,-0.0034524874951210546,-0.009218722424298059,0.0004850794119838353,0.024499628818426697,-0.034617092264505364,0.06112554425708491,-0.05720996598151158,1.0684422409347127,0.2127659574468085,0.10638297872340426,1,-0.00914201368702633,0.7596845643913934,1,-0.00914201368702633,0.7596845643913934,False
YEAR,2021,N_RETEST,FROZEN_SETUP,29304,0.002457002457002457,299,299,72,0.2408026755852843,0.2408026755852843,-0.0031082798229253574,-0.008875882655716798,-0.02661064425770321,0.9087819333664029,-0.00592080251497316,-0.0056898801352024825,-0.008371491027767061,-0.0018915584097649232,0.025546803254837318,-0.03664612821144206,0.051541721972462665,-0.05669087441478522,0.9091714055308409,0.18729096989966554,0.0903010033444816,2,-0.004249999049076739,0.8761104008554884,7,-0.006900226695195371,0.8022412191880541,False
YEAR,2021,V_REVERSAL,FROZEN_SETUP,29304,0.009213759213759214,1222,1219,270,0.220949263502455,0.22149302707136997,-0.0034942479428317587,-0.009260645847679107,-0.024432809773123898,0.8991676517592222,-0.010360362302497155,-0.018720404257373015,-0.014119902486793047,-0.0021761629681757476,0.0251988089463221,-0.0505382209497153,0.05102565875230816,-0.06830297500376163,0.747048847425724,0.16981132075471697,0.09269893355209188,6,-0.004390186682367634,0.8739374039431655,27,-0.007180536178778145,0.7973831367178115,False
YEAR,2021,MOMENTUM_DIRECTIONAL,FROZEN_SETUP,29304,0.014332514332514333,1287,1283,420,0.32634032634032634,0.3273577552611068,-0.007178997011483512,-0.012924344733078677,-0.05485232067510548,0.8398830953274715,-0.005350319426752947,-0.0018217443894349016,0.0019419982412556278,0.011105331947466879,0.05276420633765724,-0.05483534959963217,0.09595205285870444,-0.08132243027666199,1.1798965246399047,0.2821512081060016,0.20265003897116135,5,-0.007925272943128031,0.8239273750658477,24,-0.01064911739742204,0.7669301472142023,False
YEAR,2021,TREND_PULLBACK,FROZEN_SETUP,29304,0.020475020475020474,2405,2399,600,0.2494802494802495,0.25010421008753647,-0.00121813550165593,-0.006997404368370837,-0.0216284987277352,0.9634518861431381,-0.004817269231293574,-0.001117461074881926,-0.0012960925976254138,0.00020414067756170385,0.03470167444052226,-0.03741287642569461,0.0628102050399851,-0.057583168055028625,1.0907736958821252,0.2000833680700292,0.12630262609420592,10,-0.0019871003762207446,0.9406289026566098,50,-0.004817568268860993,0.8584695084247653,False
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,FROZEN_SETUP,29304,0.001092001092001092,260,260,32,0.12307692307692308,0.12307692307692308,0.0042984731144112874,-0.001514068037118961,-0.0005096839959224941,1.2454820053351219,-0.005610080169946118,-0.003433546967096858,-0.0024837615647925046,0.00567975948679978,0.01291304209008951,-0.021358816905626868,0.031214182153418916,-0.028926229736307426,1.0790961158079897,0.07692307692307693,0.046153846153846156,2,0.003064791539899631,1.1736811738868809,7,0.0004656226517687731,1.0258753790622122,False
YEAR,2021,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,DESCRIPTIVE_COHORT,29304,0.23948948948948948,32939,32765,7018,0.21306050578341784,0.21419197314207233,0.0016234264967394244,-0.004172901493148047,-0.006915629322268302,1.0574459581500404,-0.003924048470303937,-0.0007916182490345031,0.0013925070668105262,0.006202980363333632,0.030792320920681425,-0.031412089178080756,0.05714069077374276,-0.04807784440632787,1.188503592025063,0.168502975736304,0.100900350984282,149,0.0008046697918470136,1.0283442566252736,745,-0.0021654756041799366,0.9251156096963845,False
