fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,recent_retest_flag,67548,61258,0.28154793628234737,0.29614091220738514,-0.014592975925037777,0.0,0.0,-0.03220222270883236,0.28723695047337594
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,bias5,67548,61258,0.0018966379279311747,0.0014075456325729923,0.0004890922953581824,0.0009636246214278499,0.000516731045001273,0.012769109958165945,0.003192768420830827
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,bias10,67548,61258,0.005259320808648649,0.004075813626054842,0.0011835071825938076,0.002074154380109161,0.0009643978090154715,0.01915737821686618,0.004761961975807916
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,bias20,67548,61258,0.01381683943389303,0.010384492416374118,0.003432347017518912,0.008128508142665525,0.004166655854481949,0.0358201986625162,0.007882799656586559
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,signal_close,64180,58363,89.66333515113742,90.07270445316382,-0.40936930202640553,58.7,60.2,-0.004769026650599281,-0.004232547442848733
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,average_volume_20,64180,58363,10332287.145973044,8665060.3052816,1667226.8406914435,3788900.5,3726500.0,0.06233254425892811,0.0053926971291584636
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,return_3,64180,58363,0.0026215292789657633,0.002968381441369902,-0.00034685216240413867,0.0,0.0,-0.005736929276400905,-0.006030456209190571
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,return_5,64180,58363,0.005938969135551452,0.006350577995228872,-0.00041160885967742034,0.0016012820512820714,0.0012610340479193294,-0.0050317129038774,-0.002309909161970214
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,return_10,64180,58363,0.01573671939919695,0.013641103643520515,0.002095615755676435,0.005005631413641409,0.003355704697986628,0.016835152743186584,0.00034991695386732413
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,return_20,64180,58363,0.044755189489525594,0.034236810951790424,0.01051837853773517,0.02006994116641847,0.011538461538461497,0.05525961454862153,0.006928338707273052
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,return_60,64180,58363,0.16616904269237437,0.10131272433135344,0.06485631836102093,0.08868144690781787,0.032738095238095344,0.1738376302276925,0.0454749347160579
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,distance_to_prior20_close_high,64180,58363,-0.09030131390511463,-0.06869975209672537,-0.021601561808389264,-0.06765437518290901,-0.053879310344827624,-0.25496835196973483,-0.05746328705471909
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,distance_to_prior60_close_high,64180,58363,-0.13807768726664998,-0.11403214804925099,-0.024045539217398992,-0.1160517706616998,-0.0968342644320298,-0.2223134677929132,-0.0517429970143074
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,drawdown_from_20d_high,64180,58363,-0.11617649004396038,-0.09005053581214731,-0.026125954231813076,-0.09299439982768704,-0.07433380084151464,-0.3219165778183285,-0.08008899337293096
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,drawdown_from_60d_high,64180,58363,-0.16474851810189692,-0.13646221629362112,-0.028286301808275793,-0.1428571428571429,-0.11921708185053381,-0.2702884825362308,-0.06637135507210984
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,close_vs_ma5,64180,58363,0.00032720950495917264,0.0011869428567955948,-0.0008597333518364222,-0.00034620070939428427,0.0003637686431641196,-0.022645671324557484,-0.008047387273556084
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,close_vs_ma10,64180,58363,0.003094319957634012,0.003909596395381548,-0.0008152764377475363,0.0008241582370228651,0.0008424599831506896,-0.013341610615196816,-0.0033179646280269703
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,close_vs_ma20,64180,58363,0.010258087418857063,0.01011577903136444,0.00014230838749262203,0.006082792070538967,0.004004152454397225,0.0015031757864219996,-0.0006739038995189905
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,close_vs_ma60,64180,58363,0.05455847954032746,0.03679617880322312,0.017762300737104345,0.03375594738541077,0.015379238028660147,0.10245720805837966,0.025774331523202965
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,ma5_slope,64180,58363,0.007311206629170058,0.006418051627794112,0.0008931550013759459,0.0033048513846064553,0.0016242555495398214,0.012657270622652808,0.004531557997603741
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,ma10_slope,64180,58363,0.006526645993438285,0.005965427239587638,0.0005612187538506473,0.0033969856441777857,0.002334889926617789,0.009775728813272499,0.002394695405951719
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,ma20_slope,64180,58363,0.008692729680548848,0.006842881727660216,0.0018498479528886317,0.0060735803034538405,0.0034743202416909202,0.043779195044977716,0.012496420798154495
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,ma60_slope,64157,58351,0.009685139320373263,0.005752917842908137,0.003932221477465126,0.007576994676508297,0.0028980660981998696,0.17000276311799425,0.05008531654235426
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,atr5,64180,58363,0.049500214818128184,0.03908649325643379,0.010413721561694393,0.04516835161302488,0.03483434434908865,0.48226022468241997,0.14566470830012868
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,atr20,64180,58363,0.04910868429289269,0.039498846430299286,0.009609837862593403,0.046699718215837474,0.03715534521732326,0.5283969556381752,0.15313269749981995
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,atr60,64180,58363,0.04592403656958973,0.03811810011976665,0.007805936449823081,0.04467453767683045,0.03654005664609068,0.5003778981930004,0.14536262091457808
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,atr5_atr20,64180,58363,1.014631571462246,0.9944502060157026,0.020181365446543476,0.9734943795064608,0.9545344758518476,0.07187676935172663,0.020862462288933403
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,range_compression10,64180,58363,0.1496939711088237,0.11124822404827148,0.03844574706055223,0.11413043478260865,0.08720930232558133,0.3684647272280951,0.11658478808340567
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,range_compression20,64180,58363,0.26165387701921866,0.19128632580442895,0.07036755121478971,0.20369060715595366,0.1518324607329844,0.4067332191908802,0.1301879357082737
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,volatility20,64180,58363,0.033365830670150774,0.02695030830851085,0.006415522361639923,0.03169648612238221,0.02513296707487885,0.4824271771510854,0.13955700508354385
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,volume_ratio5,64180,58363,1.0868740293719574,1.0860696753624892,0.0008043540094682111,0.821763951216607,0.8386725498137486,0.0007931171820348712,-0.008463434064493125
