time_slice_type,time_slice,left_setup,right_setup,left_winners,right_winners,intersection_winners,intersection_share_all_winners,winner_jaccard
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,MOMENTUM_DIRECTIONAL,23,394,0,0.0,0.0
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,TREND_PULLBACK,23,468,2,9.286775631500742e-05,0.00408997955010225
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,CONSOLIDATION_BREAKOUT_V2,23,23,23,0.0010679791976225853,1.0
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,N_COMPACT_RETEST_HYPOTHESIS,13,13,13,0.0004436254436254436,1.0
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,N_RETEST,13,72,13,0.0004436254436254436,0.18055555555555555
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,V_REVERSAL,13,270,0,0.0,0.0
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,MOMENTUM_DIRECTIONAL,13,420,1,3.412503412503413e-05,0.0023148148148148147
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,TREND_PULLBACK,13,600,0,0.0,0.0
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,13,32,0,0.0,0.0
YEAR,2021,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,72,13,13,0.0004436254436254436,0.18055555555555555
YEAR,2021,N_RETEST,N_RETEST,72,72,72,0.002457002457002457,1.0
YEAR,2021,N_RETEST,V_REVERSAL,72,270,0,0.0,0.0
YEAR,2021,N_RETEST,MOMENTUM_DIRECTIONAL,72,420,1,3.412503412503413e-05,0.002036659877800407
YEAR,2021,N_RETEST,TREND_PULLBACK,72,600,1,3.412503412503413e-05,0.0014903129657228018
YEAR,2021,N_RETEST,CONSOLIDATION_BREAKOUT_V2,72,32,0,0.0,0.0
YEAR,2021,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,270,13,0,0.0,0.0
YEAR,2021,V_REVERSAL,N_RETEST,270,72,0,0.0,0.0
YEAR,2021,V_REVERSAL,V_REVERSAL,270,270,270,0.009213759213759214,1.0
YEAR,2021,V_REVERSAL,MOMENTUM_DIRECTIONAL,270,420,1,3.412503412503413e-05,0.001451378809869376
YEAR,2021,V_REVERSAL,TREND_PULLBACK,270,600,0,0.0,0.0
YEAR,2021,V_REVERSAL,CONSOLIDATION_BREAKOUT_V2,270,32,0,0.0,0.0
