observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,time_slice_type,period,cohort,retained_pct,delta_success,delta_downside_first,mae_improvement,mfe_retention,delta_net,delta_net_pf
3270,3246,109,12,322,0.39926062846580407,0.49815157116451014,0.10258780036968576,0.35243376463339493,0.24830560690080097,0.0005798959902592753,0.011954146636223848,0.021559951045440184,0.03138516388056214,0.06660473175473595,0.11543504277999744,-0.04145702753112864,-0.0712359986308909,1.620459388491537,0.008883754648570021,0.003045473795576054,-0.05031363759948462,1.2301570255584384,1.0733179071821044,15,0.0022332753067618536,1.0535162777746288,0.008066843261776981,1.208027017133358,74,-0.0008299226547548791,0.9804756099245504,0.004985786307413015,1.1262251816337079,20200331,0.0021809754326542557,1.0520669009400587,202004,0.0007410144796003559,1.0172508174553057,YEAR,2020,MEDIUM_RISK,0.4448979591836735,,,,,,
2430,2418,81,12,298,0.35028949545078575,0.5459057071960298,0.10380479735318444,0.293217535153019,0.19933829611248965,-0.007766044213802776,-0.005393667708208308,0.0027471347315987243,0.026505776213628797,0.050213348449027924,0.10086348212230371,-0.05560719216544281,-0.08160915272265051,1.2359334554677859,-0.001977122693943292,-0.007752350360037148,-0.0583625630574174,0.9542289051302112,0.8327770738850083,10,-0.008525028677892675,0.8168704360771024,-0.0027542450771203797,0.9365019413059074,50,-0.011448660199294624,0.7581520037032651,-0.00569492914961996,0.8708865734745285,20200323,-0.008996016109908748,0.8081285701253937,202004,-0.009034886060877816,0.8085530211192032,YEAR,2020,HIGH_RISK,0.3306122448979592,,,,,,
4920,4883,164,12,336,0.40036862584476757,0.49375383985254967,0.10587753430268278,0.35347122670489456,0.2490272373540856,0.00010866668728708727,0.010376084985123362,0.017862721726236524,0.03141438545862711,0.06425870164429498,0.11395608812613268,-0.04320039315938787,-0.07025410379211498,1.622055965062679,0.009248601800785211,0.003408264886776931,-0.04296539213066488,1.241616960900186,1.0827673716770496,23,0.002583651101412652,1.0624466628429348,0.008419208803455985,1.218913306980541,112,-0.0004794194516343013,0.988624665744281,0.0053382665384372014,1.1362618505162678,20200331,0.002837619306224596,1.0685273308901477,202004,-5.872033190123983e-05,0.9986388539583534,YEAR,2020,GATE_RETAINED,0.6693877551020408,0.016585582426057788,-0.017272047012263425,0.003760650364886306,1.0395558140103263,0.0036962563575943627,0.08948130894091588
2430,2418,81,12,298,0.35028949545078575,0.5459057071960298,0.10380479735318444,0.293217535153019,0.19933829611248965,-0.007766044213802776,-0.005393667708208308,0.0027471347315987243,0.026505776213628797,0.050213348449027924,0.10086348212230371,-0.05560719216544281,-0.08160915272265051,1.2359334554677859,-0.001977122693943292,-0.007752350360037148,-0.0583625630574174,0.9542289051302112,0.8327770738850083,10,-0.008525028677892675,0.8168704360771024,-0.0027542450771203797,0.9365019413059074,50,-0.011448660199294624,0.7581520037032651,-0.00569492914961996,0.8708865734745285,20200323,-0.008996016109908748,0.8081285701253937,202004,-0.009034886060877816,0.8085530211192032,YEAR,2020,GATE_SKIPPED,0.3306122448979592,,,,,,
7320,7274,244,12,387,0.3740720373934561,0.5640637888369535,0.061864173769590323,0.3289799285125103,0.2464943634863899,-0.004358690715925309,0.0023731643302785928,0.008692809901202223,0.021846659675884422,0.06285607391225048,0.11466483349801337,-0.05550654785375967,-0.08612050738125447,1.331446330087136,0.00032296700136193375,-0.005465881183043823,-0.05949637242466821,1.0073098341076328,0.8846182310800393,30,-0.006225233419505174,0.8691306964489606,-0.00044076404597685574,0.9900651646101734,147,-0.009141592992976035,0.8109257659944492,-0.003374080811131096,0.9251764495899059,20210520,-0.005894077555570855,0.8760145528084063,202103,-0.009945171969522356,0.7985180143615732,YEAR,2021,STAGE_A_TOP30,1.0,,,,,,
1200,1194,40,11,272,0.37269681742043553,0.5703517587939698,0.05695142378559464,0.3358458961474037,0.25041876046901174,-0.003497273782317704,0.007793951270508402,0.012456257221036836,0.01095306553626583,0.0673891822551375,0.1158726426026714,-0.05443570108844699,-0.09041512850123756,1.281562549580244,-0.0004952487067032326,-0.006278975022784602,-0.05953854466549156,0.9888055111544544,0.8677153418956365,5,-0.007058021727239416,0.8519251700717478,-0.00127878751591636,0.9712156230426611,24,-0.009994672723169586,0.7936659815514525,-0.0042325264286966705,0.9062519740855557,20210201,-0.008328780894740866,0.8278009797530929,202102,-0.013753170419836232,0.7301296280020119,YEAR,2021,LOW_RISK,0.16393442622950818,,,,,,
3210,3193,107,12,350,0.4002505480739117,0.5393047290948951,0.06044472283119324,0.3479486376448481,0.26119636705292826,-0.0018157366846767236,0.00911677977670728,0.014851525358285959,0.022393124761278714,0.06950502211689058,0.11952682825093909,-0.04952546845146889,-0.08304012979400253,1.4393863370330588,0.005764916242776417,-5.5613800782581796e-05,-0.05820588430627599,1.1375623127777228,0.998763397354839,14,-0.000834648620560604,0.9815225139258853,0.004981380131627902,1.1183444131820282,69,-0.0038597440500541765,0.9160311496033203,0.001938684614747591,1.0452611659468347,20210326,-0.0009500321860479916,0.979049715297135,202103,-0.006161684113281147,0.8704347532619958,YEAR,2021,MEDIUM_RISK,0.4385245901639344,,,,,,
2910,2887,97,11,320,0.34568756494631103,0.5888465535157603,0.06546588153792865,0.3051610668514028,0.228611014894354,-0.0075274416825010645,-0.00732714177539553,0.0003248381123726803,0.02574762551760267,0.0536275934900742,0.10878798094621099,-0.06256445487464564,-0.08775122023848887,1.2397318310850691,-0.005357391284889068,-0.01111331786711367,-0.06066155713321511,0.8852182298254931,0.7776751201581708,11,-0.011838026017770106,0.7640794794167567,-0.006086272539031558,0.8700988352929797,55,-0.01467490863577861,0.7120174313291555,-0.00893963821986486,0.8121176601949156,20210520,-0.012258322285422356,0.7569529858883026,202103,-0.01383532070528648,0.7302101181149314,YEAR,2021,HIGH_RISK,0.3975409836065574,,,,,,
4410,4387,147,12,363,0.392751310690677,0.5477547298837474,0.05949395942557557,0.34465466149988605,0.2582630499202188,-0.0022733968840346745,0.008756748494190423,0.014199610574635296,0.01927950937156698,0.0689291587034114,0.11853227669770647,-0.05086187551063275,-0.08504736673415265,1.3937207141077446,0.004061101118618975,-0.0017494121365633896,-0.0586207652357514,1.09545971205765,0.9616789406738675,19,-0.0025295055424326843,0.9448308870032747,0.0032765057118997482,1.0766835555616352,92,-0.00549308312093485,0.8821968033557975,0.0002956883580269983,1.006804654452499,20210326,-0.002410385123175261,0.9475176990936629,202103,-0.007253367901786725,0.8489836706284086,YEAR,2021,GATE_RETAINED,0.6024590163934426,0.018679273297220855,-0.016309058953206113,0.0010731406471018168,1.0337282415341413,0.0037164690464804332,0.07706070959382816
2910,2887,97,11,320,0.34568756494631103,0.5888465535157603,0.06546588153792865,0.3051610668514028,0.228611014894354,-0.0075274416825010645,-0.00732714177539553,0.0003248381123726803,0.02574762551760267,0.0536275934900742,0.10878798094621099,-0.06256445487464564,-0.08775122023848887,1.2397318310850691,-0.005357391284889068,-0.01111331786711367,-0.06066155713321511,0.8852182298254931,0.7776751201581708,11,-0.011838026017770106,0.7640794794167567,-0.006086272539031558,0.8700988352929797,55,-0.01467490863577861,0.7120174313291555,-0.00893963821986486,0.8121176601949156,20210520,-0.012258322285422356,0.7569529858883026,202103,-0.01383532070528648,0.7302101181149314,YEAR,2021,GATE_SKIPPED,0.3975409836065574,,,,,,
