period,feature,bucket,lower,upper,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,1,,0.9231639647870102,3960,3938,132,23,543,0.3517013712544439,0.5383443372270188,0.10995429151853733,0.29177247333671913,0.18867445403758254,-0.0035581506808937385,0.0028197644905879364,0.002609031495983284,0.007958024092369296,0.05042202437252247,0.08670965358708164,-0.04703672491923225,-0.0728838685203923,1.1896960925286368,-6.599610746216125e-05,-0.0058526560272753134,-0.0572727065892846,0.9983917127529932,0.8677312495473056,16,-0.00660224967898961,0.8513968306603519,-0.0008199249173670723,0.9801000832561199,79,-0.009435360308874525,0.7910406511251544,-0.0036695877128266915,0.912368219275471,20240806,-0.006549361082400312,0.8528817219831211,202304,-0.007318515139001262,0.8366029005547364
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,2,0.9231639647870102,1.0022857474515772,3660,3645,122,24,533,0.3577503429355281,0.5385459533607682,0.1037037037037037,0.3037037037037037,0.19780521262002743,-0.0023949843579654834,0.001082364580422117,0.008242883283666142,0.0174696359891047,0.05250135712794077,0.09161397550178592,-0.04546205236456683,-0.06940765469780505,1.3199405152164452,0.0015127131218247956,-0.004282279028088836,-0.056933045633773854,1.0377945991084718,0.9008453745739683,15,-0.005033872321579287,0.8839221635933345,0.000756761987354854,1.0188296206398937,75,-0.00787705157818161,0.821362600078642,-0.0021030473767315837,0.9485372595888779,20230215,-0.004855598832462599,0.8882748917020565,202302,-0.005029491260441017,0.8847186541519825
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,3,1.0022857474515772,1.0360716698521217,1350,1349,45,22,443,0.3269088213491475,0.5478131949592291,0.12527798369162343,0.27724240177909565,0.18606375092661231,-0.004409090790402399,0.00047110446579939414,0.0024009257418965446,0.0052505698217359216,0.0491293683155886,0.08353475400684172,-0.04647919113255223,-0.07453593892943686,1.120731223174421,-0.0006983752598416331,-0.006480869738876339,-0.05752938457410371,0.9827577212847628,0.8517970593544406,6,-0.0072998228707147955,0.8338119034449091,-0.001522077817225058,0.9625883610300374,27,-0.010080333034956885,0.7740991242365518,-0.004318889477514335,0.8955045426924887,20230815,-0.008565219782617806,0.8078362063051766,202303,-0.007713415491008136,0.8259622446421995
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,4,1.0360716698521217,1.0691159682278324,900,898,30,17,356,0.2873051224944321,0.6169265033407573,0.0957683741648107,0.24832962138084633,0.17706013363028952,-0.014225581770723137,-0.010766396888121673,-0.0013856102231629814,0.0021791502724907005,0.041277983673940304,0.08016202294649973,-0.05624114422466071,-0.08384246989611244,0.9561028324407298,-0.012142576502217927,-0.01785968112896406,-0.060776958664544835,0.7409436323767683,0.6454324877364379,4,-0.018732034573691946,0.629770199978534,-0.013019983255921058,0.7234618639539921,16,-0.02127303948918272,0.5851920852351769,-0.015575783331556809,0.6736184736421856,20240627,-0.020059718893954144,0.6090255085681131,202311,-0.019841997947599697,0.6143525022939444
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,5,1.0691159682278324,1.1395756513374724,1950,1946,65,22,443,0.3936279547790339,0.49229188078108943,0.11408016443987667,0.3319630010277492,0.23895169578622816,-0.001528269827799303,0.003993098077149411,0.01398889073060362,0.020853877565811002,0.05485102276767215,0.09808252418109228,-0.04161463174590316,-0.06855183762148934,1.4307789197812226,0.00863712565786165,0.002800097484831338,-0.042731553087609994,1.227969071386066,1.0685580168662865,9,0.001992254676548728,1.048553074397483,0.00782457920651212,1.205567506561527,44,-0.0010762885531711546,0.9742438175354157,0.004738146212739726,1.1222314115667094,20230214,0.001642505582109238,1.039677472503871,202304,0.0016993622416796347,1.0412131317362299
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,6,1.1395756513374724,,2610,2602,87,24,490,0.3389700230591852,0.5484242890084551,0.11260568793235973,0.27555726364335126,0.18024596464258263,-0.0016756824009988968,-0.0021144100756783748,-0.0032864223738817725,0.009731548963494102,0.04443757752319836,0.08331385309869382,-0.04632636030405643,-0.07115845064476141,1.170821628967371,-7.333781063091331e-05,-0.005859306452528402,-0.057713356639545584,0.9981702063280372,0.8647289170618515,11,-0.006636194197491393,0.84744095511651,-0.0008547212520863084,0.978764680291712,52,-0.009414769505478218,0.786989341937461,-0.003649557262033201,0.9107625295862691,20240807,-0.006810171810684902,0.8440551324294694,202408,-0.007205460799465683,0.8354860550160518
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,1,,0.9231639647870102,2520,2518,84,12,312,0.3546465448768864,0.5476568705321684,0.0976965845909452,0.30103256552819696,0.19976171564733916,-0.0028854463870172254,0.002464752802912957,0.005979873418209483,0.013022571143658224,0.052465421675540996,0.09236454091304067,-0.04768745216686303,-0.07664427190127515,1.2051068999913608,0.00016038641675724093,-0.00562724057033325,-0.05835576452212766,1.0038903922544966,0.8733210593163531,11,-0.006446722328858202,0.8555070978568536,-0.0006638242297845118,0.9839683761095941,51,-0.009296620591423154,0.794955808156097,-0.0035303106622507196,0.9161018942979648,20250410,-0.006822882617839957,0.8478743135459549,202512,-0.008086409185584406,0.8226509715767037
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,2,0.9231639647870102,1.0022857474515772,1470,1467,49,12,281,0.32992501704158145,0.567143830947512,0.1029311520109066,0.28016359918200406,0.18950238582140422,-0.006311201719807527,-0.0011433530535109216,0.007032541688871994,0.00780820359847391,0.049147541312900674,0.08895136423942611,-0.04701581916293897,-0.07615977154376427,1.167957340684922,-0.0030742954481047633,-0.008843347651264523,-0.05810724465409174,0.9263259070462715,0.8038574425277414,6,-0.009614625106913533,0.7876229459407244,-0.0038500373983573846,0.908112963325369,28,-0.0123685230847222,0.7309062199844869,-0.006619995866311392,0.8443828010200876,20250422,-0.010560020430451423,0.7688297956735555,202507,-0.011284418604736909,0.7571214253946205
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,3,1.0022857474515772,1.0360716698521217,630,630,21,11,228,0.35079365079365077,0.5523809523809524,0.09682539682539683,0.2857142857142857,0.2015873015873016,-0.004075318814963102,0.0025904484686794346,0.0029255971668223544,0.02178498266101417,0.051033654389552006,0.09420408395675293,-0.05070526830313539,-0.0785650264330339,1.1990587699610746,3.71925326241455e-05,-0.005749677435380889,-0.059011359503428,1.0009172026834923,0.8686598700570701,3,-0.0066185393592351795,0.8495323604696705,-0.0008367034221539356,0.9794643666966864,13,-0.009432485037025347,0.788979474470082,-0.0036671371253039794,0.9114310841784398,20250811,-0.0093204408891102,0.793373174008685,202508,-0.014986464889755772,0.6811899169723004
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,4,1.0360716698521217,1.0691159682278324,630,629,21,11,239,0.34340222575516693,0.5453100158982512,0.11128775834658187,0.2766295707472178,0.17488076311605724,0.0032700128619187183,0.0024685885416094247,0.0021877677930473775,0.006952143101624191,0.0480938168553261,0.08399414350776573,-0.04385952774815378,-0.06981939449512639,1.2030202226063242,0.00032923235177417,-0.005457905031570297,-0.05724957803171683,1.0084082854030547,0.8711521638763522,3,-0.006331973385103525,0.8512304931833353,-0.0005498829659293826,0.9860234850131548,13,-0.009056566161964522,0.7906153763670578,-0.003290319352229141,0.9177050740437422,20250728,-0.007786567868969924,0.8203325895738521,202512,-0.007673408540043675,0.8224008482115076
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,5,1.0691159682278324,1.1395756513374724,690,690,23,11,224,0.2956521739130435,0.5956521739130435,0.10869565217391304,0.23623188405797102,0.13623188405797101,-0.005398911874151085,-0.014367231423903809,-0.01186569481879294,0.003961553438780244,0.04027115333835769,0.07533208411786618,-0.05928681825119604,-0.08096890936145136,0.9303828433896527,-0.010374461403569258,-0.01610052830021968,-0.06039713647921644,0.7698297931043424,0.6681408900832697,3,-0.016951793143836654,0.6521140350823864,-0.011230609045328445,0.7519184285933823,13,-0.01967413174070365,0.6021230587767242,-0.013968811744818116,0.6959236866400336,20250205,-0.019199868696500616,0.6165688421561828,202502,-0.019199868696500616,0.6165688421561828
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,6,1.1395756513374724,,1350,1347,45,12,281,0.32887899034892354,0.5805493689680772,0.09057164068299926,0.27616926503340755,0.18411284335560504,-0.004086229535524341,-0.0025224314274468374,-0.005971833777146735,0.0125654669089643,0.045239610713020954,0.08603774897792404,-0.051031918360686955,-0.07639882298928374,1.1261658964300056,-0.004945658485528218,-0.010703563758690977,-0.05941692547681656,0.8854991728616521,0.7702222506757305,5,-0.01139991338965066,0.7561818437980858,-0.00564606510770256,0.8697687220017146,25,-0.01409071728108214,0.7031230145477607,-0.008352543199967838,0.8102127249138517,20251217,-0.012452367967625987,0.7366039971590478,202511,-0.014806103496542305,0.694934140629278
HISTORICAL_DISCOVERY,txo_oi_pc_ratio,1,,0.9179254460963615,4410,4398,147,19,428,0.31036834924965895,0.5927694406548432,0.09686221009549795,0.2546612096407458,0.15165984538426558,-0.003937474378306496,-0.005387460528300936,-0.0026942871999180314,0.0018518059452675222,0.044408531781605295,0.07874539090024348,-0.05190991885547365,-0.07908301055108498,0.9957308194454305,-0.009298576960529537,-0.0150315414280313,-0.060725539632412825,0.7953163006629688,0.692197918355233,16,-0.015736180607370885,0.678941247333051,-0.010007292386896039,0.7805171935249652,80,-0.01841070065406516,0.6298602185781738,-0.012697408747295174,0.7255840938916737,20221028,-0.015753407256700474,0.6793680695594422,202008,-0.015460667830523918,0.6846980893277863
HISTORICAL_DISCOVERY,txo_oi_pc_ratio,2,0.9179254460963615,1.0925146220771194,4410,4388,147,32,557,0.3286235186873291,0.5711030082041932,0.10027347310847767,0.2709662716499544,0.1825432999088423,-0.0062196134364742315,-0.005868928490579927,0.0006056202170788335,0.010706026708895767,0.04684226915442713,0.09069092918574045,-0.052700344165592106,-0.08092186861386035,1.120722132832791,-0.004471930039733138,-0.010232391631875271,-0.05892540396294983,0.8975617805328725,0.7821967090300825,17,-0.010961447953527182,0.7675821938699209,-0.0052051948574929,0.881226870376847,84,-0.013747249448703995,0.7129822598706599,-0.008007229954729363,0.8200901401898082,20210323,-0.010917700515834105,0.7688925546620577,202211,-0.012340426694503201,0.7431331622406346
