period,setup_family,row_type,comparison,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate,effect_direction_count,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,BREAKOUT,GROUP,A_R_LT_0_8,266,0.49624060150375937,0.45864661654135336,0.004735562267471367,-0.0010802122361608041,1.199975209394326,0.959304037778032,0.6127819548872181,0.575187969924812,0.010640347203020952,0.0047889100457625625,1.401743811756781,1.1668442528843292,0.020343545944019437,0.03386953061829374,-0.029668411867364797,-0.031001441737473462,0.04965280370342717,0.05882020259129344,-0.03866666666666663,-0.04850582066373807,0.3533834586466165,0.3007518796992481,0.2518796992481203,0.2631578947368421,0.22932330827067668,0.424812030075188,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,BREAKOUT,GROUP,B_R_0_8_TO_1_2,184,0.483695652173913,0.45108695652173914,0.010894879653057162,0.005043162460060061,1.5204024460367263,1.2112170682921293,0.44021739130434784,0.44021739130434784,-0.0036249390961220727,-0.009394017390277606,0.8852713050830503,0.7289296880364333,0.03629032258064524,0.04684561044204756,-0.020000000000000018,-0.023062480148964518,0.05428571428571427,0.062126689518281146,-0.039867109634551534,-0.04735596463772129,0.4076086956521739,0.29891304347826086,0.18478260869565216,0.29891304347826086,0.18478260869565216,0.40217391304347827,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,BREAKOUT,GROUP,C_R_GE_1_2,376,0.32978723404255317,0.31382978723404253,-0.014564061524588617,-0.02027072111890847,0.5786394398599543,0.4702136286754468,0.3404255319148936,0.31382978723404253,-0.015784949233835603,-0.02148321999876281,0.6013626119710364,0.5034030808105873,0.014020904055744188,0.026901070319986918,-0.04037267080745344,-0.041887380756520556,0.029777229492955692,0.042006476460487545,-0.05802589346893139,-0.06288199334416746,0.2925531914893617,0.27393617021276595,0.1622340425531915,0.26861702127659576,0.15691489361702127,0.5691489361702128,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,BREAKOUT,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.003306486926987706,-0.0011498560260167767,-0.006123374696220865,0.014182927436040169,-0.035755148741418774,0.04454069957502452,0.022638117031709704,-0.2519130305140973,0.4379145648478959
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,BREAKOUT,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.0201202130577936,-0.015526028706446163,-0.025313883578968528,-0.012089202608485203,-0.030296022201665107,-0.027867715078630895,0.1669750231267345,-0.7410034396166825,-0.22552660722584605
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GAP_BEHAVIOR,GROUP,A_R_LT_0_8,65,0.6,0.5692307692307692,0.017613342110192567,0.011720217293073808,1.707063109965158,1.4317696848468449,0.5692307692307692,0.5230769230769231,0.014730201695589754,0.008857145375730487,1.424130263506972,1.2384492737317039,0.04269293924466333,0.048360796643546124,-0.029159519725557415,-0.03381509759474826,0.060810810810810745,0.0766747380141646,-0.041269841269841234,-0.055363829603837796,0.46153846153846156,0.38461538461538464,0.35384615384615387,0.3384615384615385,0.3076923076923077,0.4,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GAP_BEHAVIOR,GROUP,B_R_0_8_TO_1_2,22,0.5,0.5,0.0015108687469287244,-0.004287999812125968,1.0461619527297323,0.8789806449394271,0.5454545454545454,0.5454545454545454,-0.010634779085484235,-0.016363698222834948,0.6947565235856918,0.5609402268470364,0.038508692065224226,0.04155698864376139,-0.038123962064753436,-0.040662041488252414,0.04806219334403927,0.05503412145544553,-0.05621771618662341,-0.06442828311237637,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.5454545454545454,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GAP_BEHAVIOR,GROUP,C_R_GE_1_2,33,0.30303030303030304,0.30303030303030304,-0.022464845459762947,-0.028122814158419742,0.4346754523008981,0.3541158782458789,0.2727272727272727,0.24242424242424243,-0.02605250248700172,-0.03169391630903614,0.39631965405697606,0.32894900436887514,0.002645502645502562,0.016724552011761453,-0.042328042328042326,-0.04915698761923705,0.02164502164502169,0.037528827915797425,-0.06329113924050633,-0.07165339765655444,0.21212121212121213,0.24242424242424243,0.21212121212121213,0.18181818181818182,0.15151515151515152,0.5757575757575758,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GAP_BEHAVIOR,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.02164061655871908,0.00906445350853858,0.016008217105199778,0.025220843598565433,0.11118881118881122,0.1258741258741259,-0.1454545454545454,0.5527890399074178,0.6775090468846675
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GAP_BEHAVIOR,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.017505293539648102,-0.007225114544178068,-0.023834814346293774,-0.015330218086201192,-0.04545454545454544,-0.030303030303030304,0.030303030303030387,-0.5248647666935482,-0.23199122247816123
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEAN_REVERSION,GROUP,A_R_LT_0_8,414,0.4396135265700483,0.4057971014492754,-0.0060427571839055776,-0.0117986094956983,0.7796091953093675,0.6141156959397078,0.47101449275362317,0.43719806763285024,-0.0022119237212425602,-0.0079888467819395,0.9280447653558334,0.7631595930874541,0.023967789916397364,0.029945984086914467,-0.02904564315352698,-0.036435688965892374,0.04021164021164014,0.04941986616636735,-0.04720660016977929,-0.05343548149965896,0.2995169082125604,0.24879227053140096,0.16666666666666666,0.24154589371980675,0.16666666666666666,0.45652173913043476,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEAN_REVERSION,GROUP,B_R_0_8_TO_1_2,2,0.0,0.0,-0.02715650094898525,-0.03278629382937378,0.0,0.0,0.0,0.0,-0.09423759517857888,-0.09948907175451863,0.0,0.0,0.013302596666869393,0.013302596666869393,-0.02715650094898525,-0.02715650094898525,0.013302596666869393,0.013302596666869393,-0.09675648686623634,-0.09675648686623634,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEAN_REVERSION,GROUP,C_R_GE_1_2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEAN_REVERSION,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.03611726949949796,0.043321005366577375,0.02098768433367548,0.09150022497257912,0.24154589371980675,0.16666666666666666,-0.5434782608695652,0.6141156959397078,0.7631595930874541
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEAN_REVERSION,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,GROUP,A_R_LT_0_8,291,0.5257731958762887,0.49828178694158076,0.005204945477332579,-0.0006148938524061959,1.1960807841156498,0.9789445921624137,0.4948453608247423,0.48109965635738833,0.0140302301496302,0.008156874596252384,1.4250807775477676,1.2280656913478836,0.025193798449612448,0.035827132481025994,-0.020477815699658675,-0.031222437534875257,0.04621848739495804,0.06691343756310647,-0.0315270935960591,-0.04741983875672791,0.32989690721649484,0.3848797250859107,0.29553264604810997,0.3848797250859107,0.29553264604810997,0.3539518900343643,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,GROUP,B_R_0_8_TO_1_2,17,0.7647058823529411,0.7647058823529411,0.03024527283724396,0.02427534722805769,7.165764009467548,4.888070672767423,0.5294117647058824,0.5294117647058824,0.0015960525902775733,-0.004204426708448876,1.0434053100170249,0.8929787006861324,0.06344410876132933,0.0537155569210657,-0.007518796992481258,-0.01157479080169817,0.08908406524466761,0.08835697097696694,-0.038961038961038974,-0.0501225972254621,0.5882352941176471,0.7058823529411765,0.4117647058823529,0.7058823529411765,0.4117647058823529,0.0,,,,,,,,,,
