stock_id,stock_name,period,comparison,left_n,baseline_n,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
3661,世芯-KY,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,59,40,-0.03636976471994632,0.002825302098550128,-0.04582883179187567,-0.011886808843666195,-0.17711864406779665,-0.2385593220338983,0.28347457627118644,-2.858493917439896,-0.36497264065526747
5269,祥碩,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,182,39,0.029370812004801183,0.019507566065438436,0.016379551459015363,0.05436552298824598,0.2490842490842491,0.2692307692307692,-0.17765567765567764,0.8313500199393837,2.4678391882795623
5269,祥碩,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,80,39,-0.02896884100166701,-0.017876648770772552,-0.02837002963380654,-0.024891814906822733,-0.0814102564102564,0.021153846153846134,0.1496794871794872,-0.7577139734283735,-0.2880894024758229
6104,創惟,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,151,15,-0.006726760469427086,-0.0026551778026858847,-0.01836909637787327,0.046242536006682704,-0.07461368653421632,-0.10110375275938188,0.08344370860927153,-0.5034805268271371,0.7071605637467123
6104,創惟,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,39,15,-0.01858971939620356,-0.0033422569702791644,-0.02571271210892849,0.018758102821713387,-0.13846153846153847,-0.24102564102564103,0.06153846153846154,-0.7544264906201009,0.12626234957702392
6415,矽力*-KY,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,108,26,0.000978584786413099,0.02546113289658118,0.029098603077204844,0.03201444288113127,-0.02706552706552709,0.0819088319088319,0.08475783475783472,0.7227983831550003,0.19158783069043936
6415,矽力*-KY,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,30,26,-0.007777022309756763,-0.01107579677605687,-0.014680183880337185,-0.007330644515866999,0.002564102564102555,0.19487179487179487,0.30512820512820515,0.18692389941059917,-0.06440294371586029
6531,愛普*,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,122,43,0.0035885278371007856,-0.004267267715254354,0.0058944133719000275,0.006298306572516615,-0.03316812809759817,0.12561951963400686,-0.10312619138391155,0.2300151871772318,0.26513510033062127
6531,愛普*,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,64,43,0.0009733889948975102,-0.0071155675082336806,-0.0003150990329686071,0.005067323962588057,0.0021802325581395388,0.23473837209302326,-0.03524709302325579,0.017506174419415932,0.30618626822614803
6533,晶心科,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,100,29,0.010881049682615399,0.01177790738462628,0.0003787140852802833,0.011657662252763618,-0.032413793103448274,-0.09241379310344829,0.036206896551724155,0.12436551521718603,0.1541087729553472
