time_slice_type,time_slice,row_type,band,probability_decile,observations,event_rate,predicted_probability_mean,log_loss,brier_score,auc,decile_success_spearman,strictly_nondecreasing_realized_success,expected_calibration_error
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,MIDDLE,6,728,0.33653846153846156,0.36029605464893594,0.640244780225371,0.22397998133656505,0.49364093463472347,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,7,728,0.3434065934065934,0.36566729365116657,0.6435196206662582,0.22559360785031393,0.5324518828451883,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,8,728,0.3434065934065934,0.37152571469752016,0.6460938483403605,0.22679268452610238,0.4724937238493724,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,OTHER,9,728,0.3557692307692308,0.37771846871328957,0.6525260410525661,0.22993979422261834,0.48914555737583454,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,PROBABILITY_DECILE,TOP,10,728,0.3956043956043956,0.3879759187448075,0.6704448916850493,0.238750946173678,0.530602904040404,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,SUMMARY_BAND,BOTTOM,,728,0.31868131868131866,0.3276384984027554,0.6260595483773265,0.21720185835765457,0.5128528225806451,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,SUMMARY_BAND,MIDDLE,,1456,0.3331043956043956,0.3578509179917643,0.6375316064511819,0.2226812482672792,0.506626179833735,0.9361745372672995,False,0.021302664161444048
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,SUMMARY_BAND,TOP,,728,0.3956043956043956,0.3879759187448075,0.6704448916850493,0.238750946173678,0.530602904040404,0.9361745372672995,False,0.021302664161444048
OVERALL,2020_2025,PROBABILITY_DECILE,BOTTOM,1,4358,0.3168884809545663,0.32464639726489325,0.6235206677051628,0.21604018211252593,0.5471392186828441,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,2,4363,0.31881732752693104,0.33407988985768705,0.6260929056730778,0.2172244144655248,0.5216719576821965,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,3,4357,0.334633922423686,0.34077797541407234,0.6368916413979757,0.2224212629387135,0.5303188602474436,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,4,4364,0.34417965169569203,0.3463792161095765,0.6427972238583863,0.22527928583746804,0.5385377149126113,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,MIDDLE,5,4361,0.3432698922265535,0.351460270302569,0.6430867975382644,0.22539213710446326,0.507502901519986,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,MIDDLE,6,4363,0.349988539995416,0.3564316238971643,0.646801792877794,0.22720380335409815,0.5294769374576845,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,7,4361,0.3606970878238936,0.36158477154621593,0.6530695352542567,0.2302488490465929,0.5328658559387658,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,8,4353,0.359522168619343,0.36711022166380886,0.652832657042652,0.23012357067669625,0.5229736295671545,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,OTHER,9,4356,0.36179981634527086,0.3736556713196303,0.6542625149653872,0.2308155619322918,0.519877524376438,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,PROBABILITY_DECILE,TOP,10,4360,0.39724770642201834,0.38423694985386936,0.6715343044499045,0.23927740541221637,0.5246875010984916,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,SUMMARY_BAND,BOTTOM,,4358,0.3168884809545663,0.32464639726489325,0.6235206677051628,0.21604018211252593,0.5471392186828441,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,SUMMARY_BAND,MIDDLE,,8724,0.3466299862448418,0.35394651694782564,0.644944721044267,0.2262981778939127,0.5201590202357746,0.9757575757575758,False,0.007933537413631448
OVERALL,2020_2025,SUMMARY_BAND,TOP,,4360,0.39724770642201834,0.38423694985386936,0.6715343044499045,0.23927740541221637,0.5246875010984916,0.9757575757575758,False,0.007933537413631448
