model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,recent_local_high_distance,0.0042082504463270935,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,bias5,-0.0005196350183430609,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,bias10,0.0005266688155516662,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,bias20,-0.0005839921710840981,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,return_3,0.0008627006178850178,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,return_5,0.001273748442411187,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,return_10,-0.0031229426380920493,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,return_20,0.003337874202747465,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,return_60,-0.0015284745697830336,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma5,0.00011008355569640386,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma10,-0.0008638917215854938,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma20,0.0012911211598074918,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma60,0.004071198449597975,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior20_close_high,-0.004036793100101419,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior60_close_high,0.0005385934773786471,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_20d_high,0.002697304602646891,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_60d_high,0.007782734275579948,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,days_since_20d_high,0.00239294678804866,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,days_since_60d_high,-0.003099206033826263,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,ma5_slope,0.0010380466044130623,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,ma10_slope,0.0052155009151612,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,ma20_slope,-0.006728166385806739,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,ma60_slope,0.014436925457360687,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,volume_ratio5,0.006208755122605706,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,volume_ratio20,-0.004661850733721911,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,prior_volume_contraction_5_20,0.0016865587440558953,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,atr5,0.012208346726581273,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,atr20,0.020591587890060666,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,atr60,0.028608887637446914,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,atr5_atr20,0.0038355751724325074,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,range_compression10,-0.001019606607545205,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,range_compression20,0.012909349019906776,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,volatility20,-0.007014738353868171,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,rs5_vs_0050,-0.0033968007906416712,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,rs20_vs_0050,-0.0010879746535441086,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,rs60_vs_0050,-0.00930616533414342,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,recent_breakout_flag,0.006932777894234433,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,recent_retest_flag,-0.0017372980842788439,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,recent_local_low_distance,0.0031397560690834807,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,recent_local_high_distance,0.002697304683290101,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,bias5,0.00011008354995856714,POSITIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,bias10,-0.0008638917210125833,NEGATIVE,0.05113004847298848,0.1,323809
LINEAR_RIDGE_MFE10,HISTORICAL_DISCOVERY_2020_2022,bias20,0.0012911213761697352,POSITIVE,0.05113004847298848,0.1,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,return_3,-0.0050232022520761395,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,return_5,-0.0023688940140318415,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,return_10,0.00843681825419588,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,return_20,0.015060232403421686,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,return_60,0.036472271953308315,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma5,-0.006337327066677716,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma10,-0.0004130400035408855,NEGATIVE,0.0,,323809
