stock_id,stock_name,period,threshold_id,threshold_return,threshold_horizon_sessions,episode_ordinal,signal_date,entry_date,first_hit_day,cooldown_sessions,blocked_through_calendar_index,mfe10,mae10
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,32,20221213,20221214,8,10,973,0.0912087912087911,-0.018681318681318726
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,1,20200319,20200320,5,10,299,0.1283783783783783,-0.09459459459459463
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,2,20200407,20200408,5,10,310,0.15537848605577698,0.043824701195219085
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,3,20200511,20200512,8,10,333,0.11524163568773238,-0.022304832713754608
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,4,20200528,20200529,7,10,346,0.1217948717948718,-0.009615384615384581
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,5,20200722,20200723,10,10,383,0.10889570552147232,-0.0030674846625766694
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,6,20201028,20201029,9,10,450,0.11066666666666669,-0.01200000000000001
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,7,20210201,20210202,10,10,517,0.1094527363184079,0.021144278606965106
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,8,20210225,20210226,9,10,528,0.12899543378995437,-0.03995433789954339
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,9,20210401,20210406,10,10,552,0.11850311850311845,-0.007276507276507305
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,10,20210423,20210426,10,10,566,0.11861313868613133,-0.03649635036496346
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,11,20210513,20210514,7,10,579,0.13080895008605853,-0.04302925989672979
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,12,20210616,20210617,7,10,602,0.10666666666666669,0.03166666666666673
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,13,20210827,20210830,10,10,654,0.11808118081180807,0.02583025830258312
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,14,20211103,20211104,5,10,699,0.10499999999999998,-0.0033333333333332993
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,15,20220310,20220311,9,10,781,0.10604332953249718,-0.03192702394526792
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,16,20220520,20220523,10,10,829,0.11328976034858385,-0.005446623093681935
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,17,20220706,20220707,10,10,861,0.10421836228287851,0.042183622828784184
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,18,20220801,20220802,4,10,879,0.13258983890954146,-0.0012391573729864103
