time_slice_type,time_slice,model,spread,cluster_unit,bootstrap_reps,seed,cluster_count,point_estimate,ci95_low,ci95_high,iid_trade_bootstrap
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,3204350554,243,0.004268843296453664,0.001233709582180346,0.0073637260865160635,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,2647802707,12,0.004268843296453664,-0.0021904351382648775,0.010170454805064441,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,318713027,245,0.0026491315257590226,0.0004309340505082597,0.004862702186314503,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,755040019,12,0.0026491315257590226,-0.0012680050238566974,0.006541558263089996,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,2368812565,245,0.012897155466598177,0.008275463079448446,0.017353355818973022,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,406179679,12,0.012897155466598177,0.006182258174072329,0.01964498609932249,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2361614218,245,0.01052928988931575,0.007622979727806525,0.013519730708497149,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1513410647,12,0.01052928988931575,0.004522824258924655,0.016444839416145208,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,3002019724,244,0.006054701003694583,0.00371210363669079,0.00837385976709924,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,1367389279,12,0.006054701003694583,-5.715881875777626e-05,0.012149244582536786,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,2193195557,244,0.01997766671604939,0.015256493487800634,0.024648793981894707,False
