time_slice_type,time_slice,model,spread,daily_observations,mean_daily_spread,median_daily_spread,positive_day_rate,remove_best_signal_date_mean_spread,remove_best_calendar_month_mean_spread
YEAR,2020,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,245,0.01052928988931575,0.008923580147271667,0.636734693877551,0.010295243731462704,0.008943014877890853
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,244,0.006054701003694583,0.005257719113786286,0.6270491803278688,0.005843456734450881,0.00454684947998313
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,244,0.01997766671604939,0.023866897379787293,0.7049180327868853,0.01961496528937045,0.018078512272487045
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,244,0.012357669206999744,0.012694117698595046,0.6885245901639344,0.012075402874520505,0.010143274695260312
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,246,0.006739958591538323,0.0055043985694397946,0.6138211382113821,0.006516123538322519,0.005190914884670588
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,246,0.0174188492456656,0.02178530815548959,0.7398373983739838,0.01706251417223961,0.0158582231192678
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,246,0.011795668597915235,0.014903086628542006,0.7235772357723578,0.011553934439894067,0.010393531775008328
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,239,0.005424214049463308,0.004388688915571322,0.602510460251046,0.005188426152635669,0.003811772336500984
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,239,0.010573241212414037,0.010261797881206439,0.6485355648535565,0.010228819375701925,0.009048791863353138
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,239,0.009163722126600318,0.010160658539128628,0.6443514644351465,0.008907905508179072,0.007974140154363941
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,242,0.012742555502987148,0.01023115982030164,0.7107438016528925,0.012415482916680366,0.009898244243950886
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,242,0.021141172090186792,0.022445312554676886,0.7148760330578512,0.020653814054558933,0.017406429580676813
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,242,0.01176842655085523,0.009190112335374215,0.7066115702479339,0.01146907515168913,0.008449174518359909
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,243,-9.23539185999743e-05,0.0030021724740568433,0.5555555555555556,-0.00030526936906898256,-0.0009436178961898092
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,243,0.001741954118600388,0.0011713141130011186,0.5185185185185185,0.001321300290955331,-9.119716380900873e-05
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,243,0.004268843296453664,0.004034386474231528,0.5720164609053497,0.003881936209732291,0.002982276554722754
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,1459,0.005580574139517268,0.005120877403291765,0.6120630568882797,0.005521598505317402,0.0050422303405072266
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,1459,0.013972483775790539,0.01469915748961023,0.6655243317340644,0.013887009170234495,0.013296676546187245
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,1459,0.009987730993200907,0.010544098997151613,0.6620973269362577,0.009927434266664677,0.009450908295239096
