cohort,feature,gross_high_minus_mid_2020,mfe_high_minus_mid_2020,mae_high_minus_mid_2020,gross_high_minus_mid_2021,mfe_high_minus_mid_2021,mae_high_minus_mid_2021,gross_high_minus_mid_2022,mfe_high_minus_mid_2022,mae_high_minus_mid_2022,gross_high_minus_mid_2023,mfe_high_minus_mid_2023,mae_high_minus_mid_2023,gross_high_minus_mid_2024,mfe_high_minus_mid_2024,mae_high_minus_mid_2024,gross_high_minus_mid_2025,mfe_high_minus_mid_2025,mae_high_minus_mid_2025,gross_all_years_positive,gross_all_years_negative,mfe_all_years_positive,mfe_all_years_negative,mae_all_years_positive,mae_all_years_negative,gross_direction_consistent_2020_2025,mfe_direction_consistent_2020_2025,mae_direction_consistent_2020_2025
N_RETEST,bias_20,0.023266874857878202,0.034141643529658684,0.005496708574106876,-0.0011506447137400646,0.015803790474644933,-0.0007901450679272948,-0.0187267655362916,-0.006426374990164178,-0.015902875700073864,-0.029601433764429592,-0.015595187322371973,-0.014977354280288048,-0.007524254883435129,0.007414970206188143,-0.013864010792561221,-0.020387978634016278,-0.0075586615081059474,-0.00411054311993693,False,False,False,False,False,False,False,False,False
N_RETEST,bias_60,0.012747594717219384,0.03450448175643912,0.010065354576346455,-0.012879867570676794,-0.011379923360891518,-0.03412991389452773,0.0012616000506219544,0.023433910357915165,-0.007991813583412763,-0.015525676043602065,0.002624906792747468,-0.022838373280793633,-0.005769840221735958,0.011982493506612485,-0.007750259194763846,-0.009242320562078531,-0.005783864031518968,-0.009775859888610947,False,False,False,False,False,False,False,False,False
N_RETEST,atr_adjusted_bias20,0.0008550102094503822,-0.01360096304301675,-0.00524713512928679,-0.004018001790433188,-0.008772482437152188,-0.0009941619209774197,-0.03129859031179398,-0.030619582939586658,-0.00914789543940274,-0.03215576894714428,-0.026529258042868355,-0.002385656085346001,-0.006213842469582198,-0.008351701628845097,-0.004113919984368067,-0.022741950720956087,-0.02369139794062218,-0.004193056820320715,False,False,False,True,False,True,False,True,True
N_RETEST,atr_adjusted_bias10,-0.02240205654237661,-0.03519306503245629,-0.0115589351622499,0.007272801662777823,0.010477047699033466,0.015598050897728623,0.002363708540268286,-0.004871971570620734,0.00847569324974868,-0.0070242968725875085,-0.007944210959534556,-0.0065595679306157395,0.005158544689263899,-0.001219828832232199,-0.0002390779438510432,-0.004477074923010841,-0.0025056753298238893,-0.0021039981411306863,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,bias_5,-0.0739276149287658,-0.011515807151240232,-0.042420358360210256,0.03523661082300889,0.0315462587613787,0.011398123189314227,0.011051894445319657,0.020765851717227717,0.004060914340280775,-0.017268513712452492,0.0074135896323123535,-0.02022222299723873,-0.03206300603109194,-0.04903491962244176,-0.023041100467565905,-0.020240535470380062,-0.0018420812405586656,-0.014964459812801506,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,bias_10,0.03253317442008262,0.04309365353145023,0.016842485823687296,-0.013386393020481979,0.016314553788878708,-0.014660706287812152,0.03983141215384394,0.04039014684277154,0.013176236045412362,-0.054182513435064354,-0.029014518293770455,-0.03681369800579884,-0.0546784176248005,-0.05504780042843899,-0.03316890229287414,0.052398256684352634,0.02444423905035413,0.02854911539003857,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,bias_20,0.02296228059719507,-0.003915174269836695,-0.0029383075139554557,-0.04019879476429594,0.030313086682957915,-0.0240727464204289,-0.04572721785825471,-0.033326587052322075,-0.04824222279338958,0.02699239620662348,0.014086944533663576,0.022265559142839765,-0.0020706946486944502,0.03285362035913769,0.012985584822297128,0.010323036782639279,0.020781280744334996,0.029804626260436173,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,bias_60,-0.030510918526089267,0.010018305546500267,-0.018142939528267503,0.008718500535604592,-0.013179761123174268,0.01063975885250043,-0.006101664660827142,0.025975382367893953,-0.012554198517816008,-0.035055259672490416,-0.01822255394149004,-0.020170444672482205,-0.005293924630844306,0.019298130386575352,-0.00040403993957372625,-0.05982928398205559,-0.030803984095587923,-0.03694682818153169,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,atr_adjusted_bias20,0.08695462715130474,0.023953751185231617,0.040696585708057106,-0.03643499457964593,-0.04259393785698233,-0.02372290018668187,-0.013686715412207466,-0.029029360139107563,-0.008420222020498629,0.031648112903360344,0.00436384900397721,0.016225915508804784,0.014491519851507567,0.0037147751494318593,0.015062794968318447,-0.005982622197998965,-0.005864476351029685,-0.0033208596737533402,False,False,False,False,False,False,False,False,False
N_COMPACT_RETEST_HYPOTHESIS,atr_adjusted_bias10,-0.0375744104739211,-0.03671318812400362,-0.0023378378782060796,0.004823772986183708,0.007498594330706161,0.010823205917251659,0.003995121940651224,-0.005589679837019912,0.005139288476117401,-0.03648395311997753,-0.019810326812269338,-0.024984945913626683,-0.013510996971177629,-0.021020406366347735,-0.009703880646313924,0.034830501174845784,0.012023213188550617,0.025538670539947787,False,False,False,False,False,False,False,False,False
