time_slice_type,time_slice,bias20_quintile,entry_gap_bucket_number,entry_gap_bucket,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
YEAR,2022,1,1,< -1%,4686,4672,0.9970123772940674,0.2579195205479452,-0.003706433371259611,-0.009471467828005075,-0.03168329255285779,-0.03731222351489595,0.4278681506849315,0.4143835616438356,0.8959348662039504,0.7556048100624478,0.0020603736893867186,-0.0008035092374401606,0.0019867076085572227,-0.0007460612336509562,0.034180479153952815,0.05566845642079022,-0.03310471673559419,-0.05595937954021453,4.071929750878521,0.9948011732471901,20,-0.004479617239361921,0.8747646803006854,0.7369006199062905
YEAR,2022,1,2,-1% to 0%,4214,4190,0.9943046986236355,0.16825775656324582,-0.011872050189322489,-0.017589656191013017,-0.03472895263940051,-0.040348616667175624,0.38663484486873506,0.36754176610978523,0.6689653749803145,0.5518451858093427,-0.007176563470863244,-0.008746392111401144,-0.007591562102661904,-0.007878177199949394,0.022345346699603166,0.03983038039535986,-0.039600929174655394,-0.057224956623363556,3.4197636780812943,0.6960316397880516,17,-0.012624640633890545,0.6494087408520908,0.5346771646464582
YEAR,2022,1,3,0% to 1%,9318,9273,0.9951706374758532,0.15496603041087026,-0.011692962899179636,-0.017411914625342036,-0.03153611393692768,-0.03716088135134279,0.3960961932492182,0.3733419605305726,0.6668202518640977,0.5470105543094653,-0.0054931546818018945,-0.006197819127807436,-0.007209994163124371,-0.009169003378361561,0.02188354269889777,0.039312389136042535,-0.03552650978018547,-0.05609943128142318,3.7164208753612513,0.7007627036151519,37,-0.01242940204334361,0.6472492674511612,0.5298460956466382
YEAR,2022,1,4,1% to 2%,4753,4731,0.9953713444140543,0.1876981610653139,-0.011136713417972736,-0.016858991150439612,-0.040322580645161255,-0.045865412029265196,0.3906150919467343,0.3749735785246248,0.6988699944059273,0.582041290028293,-0.0032265872796807477,-0.0035429613648924217,-0.007879537704389265,-0.010193851607586348,0.025883315309319987,0.0442504770447178,-0.036612159961544766,-0.060840238172697604,4.062493415468079,0.727322547934657,19,-0.011898778706551583,0.6795563208076637,0.565011697777356
YEAR,2022,1,5,2% to 3%,1991,1982,0.9954796584630838,0.21644803229061554,-0.009210565274795844,-0.01494429780265987,-0.05070015667841754,-0.05618007022369596,0.40060544904137235,0.38799192734611504,0.758873683898482,0.6396448281814129,-0.002967201255275892,-0.0015264746589371515,-0.00698174841336926,-0.004764852340167578,0.030115912576378565,0.051851627137276736,-0.038867310315254894,-0.06412530749699834,3.6953317433578916,0.808598495059129,8,-0.009976357519503083,0.7398799499012554,0.6228146684474661
YEAR,2022,1,6,>= 3%,1233,1226,0.9943227899432279,0.30179445350734097,-0.0006253237150390325,-0.006408261725998371,-0.03801628599304524,-0.043555839444504474,0.4437194127243067,0.433115823817292,0.9830224659233127,0.8392193523920815,-0.004113001765794829,0.005471234020789818,0.0017794841637226574,0.005787358542480034,0.03757208337080093,0.0639417998046359,-0.036343899508789586,-0.06267011255548059,4.282822088343363,1.0202917658402082,6,-0.0014703949928262733,0.9602741601828055,0.8190303120309227
YEAR,2022,2,1,< -1%,3236,3227,0.9972187886279357,0.17601487449643632,-0.010490754758122424,-0.01621649191940974,-0.03463203463203468,-0.04024589059196334,0.3944840409048652,0.37496126433219706,0.7039511413209786,0.5817924100786432,-0.0008514265144345007,-0.006757708516859238,-0.0077670124246434985,-0.008950072157119515,0.023712340491144825,0.040982421452031556,-0.03505838075248381,-0.05431076901585854,4.088174134872097,0.754591072721965,13,-0.011227410898045707,0.6844391039160569,0.5646653370400612
YEAR,2022,2,2,-1% to 0%,4950,4943,0.9985858585858586,0.12016993728504957,-0.009809270808293635,-0.015539733144607656,-0.017026106696935273,-0.022716330342418885,0.3979364758243981,0.3673882257738216,0.6747434376952306,0.5366983412885158,-0.003091620105459575,-0.007637228958165256,-0.008419276216610625,-0.009545017366720407,0.017420149436063792,0.03270209281342622,-0.031348422944016366,-0.04786055589450136,3.4762583398377767,0.6832785830049943,20,-0.010541969243803006,0.6518628952268398,0.5169428118740743
YEAR,2022,2,3,0% to 1%,10115,10094,0.9979238754325259,0.11967505448781454,-0.00931607955169936,-0.015049022690979345,-0.015228078607959494,-0.020921729764759797,0.4034079651277987,0.3693283138498118,0.6849664327857321,0.5430619948582097,-0.00267080441813297,-0.004882407799609627,-0.006624785943637861,-0.010870507197889085,0.018330764887639614,0.032384073742509525,-0.02825422677103577,-0.04709291791768865,3.579730972107288,0.6876633509758733,41,-0.01004142480536717,0.6618173172183699,0.5231110722412019
YEAR,2022,2,4,1% to 2%,3117,3103,0.9955085017645172,0.16210119239445697,-0.009595432029528546,-0.015326292880940234,-0.024163568773234112,-0.02983511714951407,0.39284563325813726,0.3699645504350628,0.7108096552790846,0.5807541477211645,-0.0030964191199058396,-0.004075685852133555,-0.008859088108085425,-0.012805434326435708,0.022636136377428954,0.038346436007229666,-0.033463599527513994,-0.055054104383014876,3.6855386182729277,0.6965227467956084,13,-0.010378740775275369,0.6885124991261649,0.5612969592448568
