boundary_source,resolution,feature,boundary_number,probability,boundary_value,finite_discovery_observations,entry_gap_denominator,boundary_sha256
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,6,0.6,0.2669309195762347,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,7,0.7,0.5567567567566408,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,8,0.8,0.9263157894737856,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,9,0.9,1.538643070120841,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,1,0.1,-0.05748865355521937,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,2,0.2,-0.033434650455926994,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,3,0.3,-0.019230769230769273,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,4,0.4,-0.008797653958944385,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,5,0.5,0.0,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,6,0.6,0.008620689655172376,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,7,0.7,0.018939393939394034,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,8,0.8,0.033557046979865834,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,9,0.9,0.06155796080264532,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,1,0.1,-0.07308377896613194,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,2,0.2,-0.04336043360433606,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,3,0.3,-0.024935364999574636,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,4,0.4,-0.01132075471698113,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,5,0.5,0.0,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,6,0.6,0.011655011655011593,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,7,0.7,0.02556818181818188,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,8,0.8,0.04556130796297556,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_5,9,0.9,0.08407079646017701,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,1,0.1,-0.10169491525423724,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
