time_slice_type,time_slice,momentum_strength_quintile,bias20_quintile,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
YEAR,2023,5,3,1601,1596,0.9968769519050593,0.2568922305764411,0.0034118587487498068,-0.0023942209065497106,-0.017115638121277144,-0.022809319221824623,0.43358395989974935,0.41102756892230574,1.1136608012407432,0.9278259858526154,-0.0029063036213402144,0.00017841449375502743,0.00284471582845789,0.0054184970068487685,0.033327291646181284,0.05693776352635862,-0.03083718956576464,-0.047359233846626374,4.949063501024279,1.2022526316779631,7,0.0026309720558335844,1.0872623522655536,0.9048421126455164
YEAR,2023,5,4,4883,4879,0.9991808314560721,0.27546628407460544,0.004648782516840363,-0.0011643392275697256,-0.014634146341463428,-0.02033309166276563,0.4451731912277106,0.4287763886042222,1.1547372408158603,0.9648420800027211,-0.003088223603115584,0.00023662094289509796,0.0030607759996945172,0.010376498003764122,0.03379349521557219,0.0614252716279526,-0.030915621714115216,-0.04729918034453484,5.336309466181174,1.2986540396793569,22,0.0038534624718782155,1.1276862224051114,0.9412319497549781
YEAR,2023,5,5,16036,16001,0.9978174108256423,0.2854821573651647,0.00018061779923505457,-0.005606638076269075,-0.036619718309859106,-0.04222864966966683,0.41059933754140365,0.39778763827260794,1.0051709615677697,0.8531015013622268,-0.0037335888039308775,-0.001727271700764685,0.0006581333525100387,0.006853453497139208,0.036374088589393935,0.06746813651379366,-0.03728919502805445,-0.057793812646446625,5.059989723224619,1.1673937645631665,66,-0.0005790525933566296,0.9834905077276971,0.8339997111412008
YEAR,2024,1,1,11100,11083,0.9984684684684685,0.19317874221781106,-0.0018167659119067054,-0.007593084357002215,-0.00952380952380949,-0.015269000739982334,0.44103582062618424,0.4111702607597221,0.9368687781310591,0.7620967245139812,-0.002350583537613641,-0.001019674889710321,0.0004350670119726103,0.0012907062962395845,0.02600503897955762,0.04563666453513471,-0.027606779734622264,-0.04460751479141031,4.562501318406786,1.0230712190207594,49,-0.0026047305082488614,0.9098877848876418,0.7387119615856391
YEAR,2024,1,2,10815,10813,0.9998150716597318,0.12216776102839175,-0.0037309326281835193,-0.009496572743561043,-0.008021390374331472,-0.013766111536775674,0.42374919078886525,0.3842596874132988,0.847422806237507,0.6576826350900723,-0.0024408823467942185,-0.0024126823202689465,-0.002758987005000843,-0.004127036923648327,0.017983451094999,0.03372814698718205,-0.022311901110468147,-0.03730050219185713,4.047558182777188,0.9042276914584025,46,-0.0044932669476023986,0.8170287111284331,0.6319350965011543
YEAR,2024,1,3,5025,5024,0.9998009950248756,0.10748407643312102,-0.005239917287085306,-0.01099708994984523,-0.009187424969987978,-0.01493423150930891,0.41102707006369427,0.3698248407643312,0.7842204462471426,0.6023070255657897,-0.002482931254416951,-0.003399918570755556,-0.004511097437510482,-0.005543561600903313,0.01624654599051542,0.030614938771838116,-0.022506790050637743,-0.03728670857156038,3.8508675385235818,0.8210684167276967,21,-0.005981768391839553,0.7547006910640628,0.577408104291737
YEAR,2024,1,4,919,919,1.0,0.13166485310119697,-0.012166170165771976,-0.017883045315560165,-0.026397515527950333,-0.032041791421914684,0.32317736670293795,0.3003264417845484,0.6196786024684234,0.5001786059614322,-0.003734036399726478,-0.009020023829163823,-0.00788044407790928,-0.010790868681544925,0.01819917510194736,0.03488327638014435,-0.029718642784663046,-0.048078304277220214,3.859010787503048,0.7255513043681171,3,-0.01280532411944594,0.601005038486557,0.48410697925282803
YEAR,2024,1,5,50,50,1.0,0.14,-0.023584283767945493,-0.02923129292527579,-0.052012796733869604,-0.05748692123833249,0.26,0.22,0.4459858732229705,0.3740157042618629,-0.012480795469286779,-0.021077133031554892,-0.01731770164285116,-0.014295508580034002,0.015086775850744367,0.03786380662426428,-0.04555538106048718,-0.0644155455180868,1.2343109152139249,0.5878054174614226,1,-0.027573248742801523,0.36523618501813176,0.3033045718843913
YEAR,2024,2,1,7427,7418,0.9987882051972533,0.19843623618225936,-0.0037132877296660147,-0.009479127145325107,-0.012225011956001897,-0.017946613012579986,0.4332704232946886,0.40711782151523324,0.8797068801308582,0.7214515563445527,-0.0023102831238192884,-0.0006172132334260471,-0.0001587083647460684,0.002371449775499621,0.02753768897475865,0.047860712638372424,-0.02979364849163729,-0.04790565837557454,4.7658206120936795,0.9990617864626815,33,-0.004517503789334997,0.8543050890351239,0.6992998105941931
YEAR,2024,2,2,9024,9011,0.9985593971631206,0.1321717900344024,-0.0029133553685686156,-0.008683748280675843,-0.007092198581560294,-0.012840277640789132,0.4366884918433026,0.4012873155032738,0.8825061973591012,0.6898362345488599,-0.002246160460431116,-0.002270291320094583,-0.0019253114465500258,-0.0026969931557506758,0.019457760295055207,0.035995567627890496,-0.022960760634595116,-0.03849652674071256,4.152078209188377,0.9350341621812563,40,-0.0036836709686151013,0.8520993115906985,0.6639801286829912
