time_slice_type,time_slice,chip_family_model,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
YEAR,2020,INSTITUTIONAL_ONLY,520,513,104,11,108,0.5029239766081871,0.4444444444444444,0.05263157894736842,0.43664717348927873,0.33723196881091616,0.004453673334847037,0.017875705483979192,0.038582823161954376,0.05775314927190199,0.08167891507829943,0.14812571742249117,-0.041525291491259726,-0.06559465321656686,2.2581980414385345,0.023196861514103242,0.01727556061749564,0.07389509500270358,1.6546664174671915,1.455528509802411,3,0.016336777978939176,1.4282551863221782,0.02225265606130986,1.6243462393358223,14,0.013000042237517209,1.3334351321982385,0.018896504242072256,1.5187468630741965,20201012,0.016376689283030817,1.4276178932910955,202004,0.01236890107491958,1.3061967979807152
YEAR,2020,MARGIN_SHORT_ONLY,520,513,104,11,105,0.48927875243664715,0.45419103313840153,0.056530214424951264,0.42300194931773877,0.32748538011695905,0.005046537792250385,0.01804360698502981,0.03792714937528078,0.05577649970514247,0.08236068942949565,0.14586698769529807,-0.04149027004171251,-0.06542481884780076,2.229535981362543,0.01965388739923575,0.013752561711314722,0.024894567067740042,1.5378834326789175,1.3516850185697253,3,0.012796518762034184,1.3253231093639244,0.01869232168390228,1.5085758827554598,14,0.009391769492666282,1.2336150788565732,0.015267722587750466,1.4064406572917947,20201118,0.01274365217904768,1.3227085874892142,202004,0.008572441270162446,1.205760330449862
YEAR,2021,ALL_CHIP,1025,1011,205,12,146,0.4421364985163205,0.5222551928783383,0.03560830860534125,0.3798219584569733,0.2987141444114738,-0.0017494388516724167,0.010408636314314804,0.018821946408054725,0.0323192867954463,0.07788330299723793,0.14013013068487534,-0.05418434344546643,-0.0894623611390552,1.5663585098884776,0.009104252574846204,0.003265267841542698,-0.056977983496706894,1.214666750610079,1.072132999264379,5,0.0023942986404149064,1.0526308426391124,0.00822826320564374,1.193052524612728,24,-0.0008619097772619026,0.9814115583040798,0.004953083466300417,1.114015035920633,20210520,0.0025389458749127086,1.055810440083029,202102,0.0008177256850569088,1.0176575798542484
YEAR,2021,INSTITUTIONAL_ONLY,1025,1012,205,12,145,0.4357707509881423,0.5296442687747036,0.03458498023715415,0.3774703557312253,0.29545454545454547,-0.0018830908371625262,0.010458807200459939,0.019116991330442864,0.034932632697583954,0.07805430930042707,0.14176590931649585,-0.054487079402047216,-0.08914048251465415,1.5903650655378763,0.008516587017275572,0.0026809554689008206,-0.05769763960826096,1.199102718503681,1.058708033748685,5,0.0018067963250489362,1.0393700613436156,0.0076373516100297556,1.1776655992011027,24,-0.0014787497148656306,0.9683860297074054,0.004332700582200693,1.0988887099327136,20210520,0.0019764009604346057,1.0430657434781887,202102,0.00012745423026616517,1.0027280516454946
YEAR,2021,MARGIN_SHORT_ONLY,1025,1010,205,12,143,0.4277227722772277,0.5346534653465347,0.03762376237623762,0.36534653465346534,0.2861386138613861,-0.002379258538812354,0.008187659935456618,0.014034587492322217,0.030176669725002388,0.07480582980246392,0.1377084358087349,-0.056712624320591,-0.09225689422351765,1.4926628190528333,0.006328193131774627,0.0005046985816830685,-0.057938512032417865,1.1458482460677608,1.010891371533651,5,-0.00038316976253750264,0.9917721492193675,0.005435212862653918,1.124647258492575,23,-0.0035380932568532426,0.9253868210737376,0.0022619164977540056,1.0509440928007434,20210311,-0.0002627982039105998,0.99435690229606,202102,-0.0018178052783996924,0.9616059872126903
YEAR,2022,ALL_CHIP,985,983,197,12,142,0.32451678535096645,0.624618514750763,0.0508646998982706,0.271617497456765,0.15666327568667346,-0.005382779757229012,-0.006633071997192854,-0.008068785560702962,-0.010932157932525059,0.044907232344770814,0.0798903840557213,-0.05757873249724822,-0.09149638849736584,0.8731534147713527,-0.010364929896879508,-0.01609107708830598,-0.061829104103426576,0.7824304490006256,0.685051704626723,4,-0.016872089619401332,0.6711088448184085,-0.011150466886162367,0.7668937206041304,18,-0.01943752163572114,0.6265187256652722,-0.01373091046060032,0.7170531411074622,20221115,-0.016842849315971308,0.6720141959478921,202211,-0.023784205644582144,0.5644939231333135
YEAR,2022,INSTITUTIONAL_ONLY,985,984,197,12,136,0.31402439024390244,0.6290650406504065,0.056910569105691054,0.26422764227642276,0.15447154471544716,-0.00486360281282494,-0.0067140632392327215,-0.008949769939845325,-0.011352128422024484,0.04461463954297439,0.0796772358626584,-0.057770065957422706,-0.09194533380683864,0.8665718265817229,-0.011591942964665944,-0.01731100766632351,-0.062190856501028735,0.7574496800965698,0.6625135889667086,4,-0.018096202554338223,0.6486399600126379,-0.0123816866021956,0.7419782000028201,17,-0.020502802694186365,0.6071936047893233,-0.014802385398155152,0.6956251957946824,20221115,-0.01806824248914964,0.6495408157779747,202211,-0.02415331955846379,0.5567274137896489
YEAR,2022,MARGIN_SHORT_ONLY,985,983,197,12,136,0.3326551373346897,0.6164801627670397,0.0508646998982706,0.2746693794506612,0.1607324516785351,-0.0056740909261156994,-0.007040681795290504,-0.00849950043931868,-0.009272303862799841,0.044681105036280234,0.0801802492519999,-0.05807363879769803,-0.09183387129028796,0.8731010478535657,-0.009409489898118606,-0.015141331748824904,-0.061829104103426576,0.8020080481597897,0.7027931069098444,4,-0.015926088151869633,0.6886613112721099,-0.010198775906764102,0.7862733493149603,18,-0.018530364564394643,0.6429306590849231,-0.012818274982406272,0.735220208295867,20221115,-0.015888248427719878,0.6897183005202195,202211,-0.02321490696325516,0.5741527086528607
YEAR,2023,ALL_CHIP,1115,1113,223,12,166,0.38185085354896675,0.5013477088948787,0.11680143755615453,0.3252470799640611,0.2183288409703504,-0.001652028268365535,0.0027085778306195837,0.009357411564359177,0.01626206170300645,0.053275095315714185,0.09467297136049473,-0.042951578335222264,-0.0691297202943441,1.369497387771732,0.006353997419229376,0.000529853601232242,-0.05548428790424123,1.1645473005482043,1.0127337517899426,5,-0.0002633817989405376,0.9936986900037813,0.005556139531137022,1.1432390617224986,25,-0.0032821610608967412,0.9228929461672268,0.0025197402460560812,1.0637871548796987,20230711,-5.6046646805749685e-05,0.9986591051576373,202304,-0.0012082208750286026,0.9712566416519747
YEAR,2023,INSTITUTIONAL_ONLY,1115,1112,223,12,168,0.38489208633093525,0.5062949640287769,0.10881294964028777,0.3318345323741007,0.21672661870503598,-0.0018630058800451746,0.0022416394369033704,0.008889965994491687,0.014472904470358152,0.05314396942343002,0.09428187675197862,-0.04358232425151883,-0.06971381094310267,1.3524131800645258,0.0059756099571358495,0.00015364826251838137,-0.055936414808482035,1.1528631459563665,1.0036505548709933,5,-0.0006420029119034869,0.9848151306848594,0.0051753222630827374,1.1317955609004247,25,-0.0036733910057238327,0.9146854425651747,0.0021262298788902786,1.0531686366878654,20230711,-0.0004439571792299868,0.9894993751225551,202304,-0.001752981505223501,0.9588586103954735
