time_slice_type,time_slice,top_k,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
YEAR,2020,5,True,520,511,104,11,105,0.49902152641878667,0.4520547945205479,0.04892367906066536,0.44422700587084146,0.33659491193737767,0.0041382291501452055,0.018376449949041265,0.03771616885171487,0.05735209681159929,0.0809691092675851,0.1467018646319913,-0.04132862137107667,-0.06585720892227878,2.227574885615349,0.022672142625194555,0.01675350664630258,0.06659076566675776,1.6356972454855871,1.4387092570237114,3,0.01580794501721326,1.4115184441316735,0.021721121094502915,1.6054563153803776,14,0.012449549445366227,1.3170736843551225,0.018343169180635163,1.5002275708163542,20200602,0.01572563704405792,1.4077640559964235,202004,0.011687795772880424,1.2872469195096754
YEAR,2020,10,False,1040,1027,104,11,149,0.4459591041869523,0.48296007789678674,0.07108081791626096,0.38461538461538464,0.29308666017526774,0.0016189253370741188,0.015307041012984015,0.032288663321492404,0.0486223111300465,0.07488883693947126,0.13432926750259558,-0.040705837034424396,-0.0655372079658294,2.0496641781357825,0.013911293829860326,0.008044232223269719,-0.027140502455095326,1.367605186918081,1.1980311518359898,5,0.007216232699670002,1.1767827541445162,0.013078519807458404,1.3439166118312063,25,0.004038903061477807,1.09700846256023,0.009882660074544934,1.2547916800193353,20200325,0.00702296901235966,1.1712064710497048,202004,0.004435511046289487,1.1043674329933812
YEAR,2021,3,False,615,605,205,12,110,0.44958677685950416,0.5206611570247934,0.02975206611570248,0.3785123966942149,0.315702479338843,0.00018908555506333196,0.010019340562157291,0.020580946921328953,0.03746020554468429,0.08080728138536677,0.14557406384510535,-0.05450557292282792,-0.08925818431831123,1.6309323896390415,0.00934096590054073,0.0035001651741221164,-0.05673377695988545,1.2186703522854183,1.076875704714767,3,0.002631419656151442,1.0575084684392282,0.008467238116046966,1.197233648136139,15,-0.0007800474821055972,0.9832922392786513,0.00503591263766398,1.1149669321008264,20210520,0.0027470720657783373,1.0600359987529133,202102,0.0008917589283262931,1.0191221124669234
YEAR,2021,5,True,1025,1011,205,12,146,0.4421364985163205,0.5222551928783383,0.03560830860534125,0.3798219584569733,0.2987141444114738,-0.0017494388516724167,0.010408636314314804,0.018821946408054725,0.0323192867954463,0.07788330299723793,0.14013013068487534,-0.05418434344546643,-0.0894623611390552,1.5663585098884776,0.009104252574846204,0.003265267841542698,-0.056977983496706894,1.214666750610079,1.072132999264379,5,0.0023942986404149064,1.0526308426391124,0.00822826320564374,1.193052524612728,24,-0.0008619097772619026,0.9814115583040798,0.004953083466300417,1.114015035920633,20210520,0.0025389458749127086,1.055810440083029,202102,0.0008177256850569088,1.0176575798542484
YEAR,2021,10,False,2050,2029,205,12,208,0.40611138491867915,0.5396747166091671,0.05421389847215377,0.35731887629374076,0.2779694430754066,-0.002786991690640624,0.007715127489452497,0.015308922321392134,0.031091276770498794,0.0722528264443825,0.13190729511104413,-0.05437382108547654,-0.08833108601874667,1.493328125537245,0.004635803645573737,-0.0011779637266666238,-0.058033079603218685,1.1068663359376028,0.9746099005695894,9,-0.001978201241753871,0.9575505295504106,0.0038309387008290644,1.0879205531638905,45,-0.005142402493044901,0.8916177479891536,0.0006483245283879224,1.0146139615430718,20210520,-0.0018615387816033945,0.9600737203271632,202102,-0.0033139229815621857,0.9300459859191085
YEAR,2022,3,False,591,591,197,12,116,0.3333333333333333,0.6175972927241963,0.049069373942470386,0.27580372250423013,0.15736040609137056,-0.004919531610262905,-0.005214180998009546,-0.005569900462946524,-0.00503340327343942,0.04766770230338618,0.08510572204920298,-0.05754497548131495,-0.0915347655446934,0.9297639158495322,-0.009454334399081235,-0.01518587858480868,-0.061872953587443213,0.7996469065320673,0.699981325750452,3,-0.016156662674740106,0.6824223963951871,-0.010430738845168758,0.7800773244447934,11,-0.018590040727520966,0.6395631228415615,-0.012878333797034777,0.7321662615119329,20221114,-0.01594921380398537,0.686500040186551,202211,-0.02309206104894452,0.5746619667473997
YEAR,2022,5,True,985,983,197,12,142,0.32451678535096645,0.624618514750763,0.0508646998982706,0.271617497456765,0.15666327568667346,-0.005382779757229012,-0.006633071997192854,-0.008068785560702962,-0.010932157932525059,0.044907232344770814,0.0798903840557213,-0.05757873249724822,-0.09149638849736584,0.8731534147713527,-0.010364929896879508,-0.01609107708830598,-0.061829104103426576,0.7824304490006256,0.685051704626723,4,-0.016872089619401332,0.6711088448184085,-0.011150466886162367,0.7668937206041304,18,-0.01943752163572114,0.6265187256652722,-0.01373091046060032,0.7170531411074622,20221115,-0.016842849315971308,0.6720141959478921,202211,-0.023784205644582144,0.5644939231333135
YEAR,2022,10,False,1970,1965,197,12,184,0.31857506361323157,0.6076335877862595,0.0737913486005089,0.26310432569974557,0.15674300254452928,-0.004233588546784316,-0.0052655579777869605,-0.006315514631363864,-0.00863625573429383,0.044708305505182164,0.07809398077085182,-0.054090148366355076,-0.08668702796894846,0.900872744176041,-0.00851206225659496,-0.014249203500149188,-0.060557916374226854,0.8149300528138209,0.7115809727100879,8,-0.015032824658351315,0.6969584478116332,-0.009300218791544723,0.7986171205624782,36,-0.017647432062165458,0.6493413871097096,-0.011930124511934698,0.7453663713885563,20220126,-0.014863856690697863,0.7003879356072382,202211,-0.021212182614089563,0.5967877340082756
YEAR,2023,3,False,669,668,223,12,135,0.4041916167664671,0.48502994011976047,0.11077844311377245,0.34281437125748504,0.22904191616766467,-0.001238237490137866,0.004672184880659151,0.012907525855742105,0.01934116658249569,0.056032712737027236,0.09876720045353171,-0.04138689761899344,-0.06705447417775601,1.4729397503246067,0.009254938116549625,0.003413066148525593,-0.029263228019833366,1.2461283974247779,1.0842923076059108,4,0.002372944776950886,1.058253562026924,0.008208771559902425,1.216999129479732,16,-0.0005313784613612044,0.9871909087903107,0.005287430227129665,1.1372473562440564,20230711,0.0027986365494202295,1.0688073643103222,202304,0.0007397396134400758,1.0178793091317422
YEAR,2023,5,True,1115,1113,223,12,166,0.38185085354896675,0.5013477088948787,0.11680143755615453,0.3252470799640611,0.2183288409703504,-0.001652028268365535,0.0027085778306195837,0.009357411564359177,0.01626206170300645,0.053275095315714185,0.09467297136049473,-0.042951578335222264,-0.0691297202943441,1.369497387771732,0.006353997419229376,0.000529853601232242,-0.05548428790424123,1.1645473005482043,1.0127337517899426,5,-0.0002633817989405376,0.9936986900037813,0.005556139531137022,1.1432390617224986,25,-0.0032821610608967412,0.9228929461672268,0.0025197402460560812,1.0637871548796987,20230711,-5.6046646805749685e-05,0.9986591051576373,202304,-0.0012082208750286026,0.9712566416519747
