time_slice_type,time_slice,cohort,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,auc_on_common_stage_a_pool,mean_daily_path_ic,median_daily_path_ic,positive_ic_day_rate,ic_days
YEAR,2020,OHLCV_TOP5_COMMON_DATES,False,520,517,104,11,119,0.42940038684719534,0.4951644100580271,0.07543520309477757,0.36750483558994196,0.27852998065764023,0.0016506098841401824,0.012983759191218086,0.028367300920317175,0.03565818374538572,0.06947421548176047,0.1257975309624008,-0.042362246368443546,-0.06898073759230078,1.8236617257691017,0.011037931167810168,0.005187037328644478,-0.04996699650172903,1.2845730286585044,1.1245269320833502,3,0.004188441069342757,1.0999698177940853,0.01003356077186786,1.2571779415466486,12,0.0012807222399679222,1.0300330681444634,0.0071089044304539235,1.1790233028641977,20201118,0.00400122272019396,1.0951296851502195,202004,-0.00017983634696910682,0.9959406579380002,0.5235940538427081,0.0463364640917105,0.09114957451001907,0.5865384615384616,104
YEAR,2020,CHIP_TOP5,True,520,511,104,11,105,0.49902152641878667,0.4520547945205479,0.04892367906066536,0.44422700587084146,0.33659491193737767,0.0041382291501452055,0.018376449949041265,0.03771616885171487,0.05735209681159929,0.0809691092675851,0.1467018646319913,-0.04132862137107667,-0.06585720892227878,2.227574885615349,0.022672142625194555,0.01675350664630258,0.06659076566675776,1.6356972454855871,1.4387092570237114,3,0.01580794501721326,1.4115184441316735,0.021721121094502915,1.6054563153803776,14,0.012449549445366227,1.3170736843551225,0.018343169180635163,1.5002275708163542,20200602,0.01572563704405792,1.4077640559964235,202004,0.011687795772880424,1.2872469195096754,0.5364065330740542,0.08106852304025579,0.12209467273937541,0.6346153846153846,104
YEAR,2021,COMMON_STAGE_A_TOP30,False,6150,6113,205,12,372,0.3798462293472927,0.5566824799607394,0.06347129069196794,0.33584164894487156,0.25257647636185176,-0.004445533688395307,0.005592896789784648,0.011936752636860977,0.023704036561566142,0.06559841485783766,0.1189348679149715,-0.05310661877659517,-0.08486312709639315,1.4014905175468895,0.0014962952739043947,-0.0042993083642248265,-0.059046672960682646,1.034230476984816,0.9082697339730271,26,-0.005075752420661736,0.8921640934358354,0.0007153687538188855,1.0162957562360968,126,-0.008019512219519338,0.8324220500565841,-0.0022455211473951893,0.9496884545014818,20210520,-0.0048034769221767006,0.8979386751440448,202102,-0.006343037243739751,0.8673173924175641,,,,,
YEAR,2021,OHLCV_TOP5_COMMON_DATES,False,1025,1013,205,12,155,0.42250740375123397,0.5172754195459033,0.060217176702862786,0.36229022704837116,0.2833168805528134,-0.0023504925652121675,0.008475194425812174,0.014574732569894363,0.031914860800992824,0.07111777925412738,0.13338253000896266,-0.0529660966934883,-0.08649148466240439,1.542146380416344,0.007889916228465275,0.00205734278167684,-0.056446562920291585,1.189488882675207,1.0461638276114387,5,0.0011798039040068144,1.0263424442187379,0.007007315782642282,1.1674611691308607,23,-0.0019239906758106472,0.9578086068771788,0.0038854608417384943,1.0911968060656287,20210520,0.0013107245872023532,1.0292656171142036,202102,-0.00013578303132640685,0.9970174372834965,0.5417862606277027,0.03948494769020395,0.04354361160769096,0.572139303482587,201
YEAR,2021,CHIP_TOP5,True,1025,1011,205,12,146,0.4421364985163205,0.5222551928783383,0.03560830860534125,0.3798219584569733,0.2987141444114738,-0.0017494388516724167,0.010408636314314804,0.018821946408054725,0.0323192867954463,0.07788330299723793,0.14013013068487534,-0.05418434344546643,-0.0894623611390552,1.5663585098884776,0.009104252574846204,0.003265267841542698,-0.056977983496706894,1.214666750610079,1.072132999264379,5,0.0023942986404149064,1.0526308426391124,0.00822826320564374,1.193052524612728,24,-0.0008619097772619026,0.9814115583040798,0.004953083466300417,1.114015035920633,20210520,0.0025389458749127086,1.055810440083029,202102,0.0008177256850569088,1.0176575798542484,0.5432194569349275,0.05547754919970225,0.06598288790738578,0.5920398009950248,201
YEAR,2022,COMMON_STAGE_A_TOP30,False,5910,5892,197,12,332,0.28411405295315684,0.6096401900882552,0.10624575695858791,0.22674813306177868,0.12797012898845891,-0.004387520941387261,-0.0072688711767609215,-0.008344357323517947,-0.012447291942002609,0.03974607011264858,0.06904982071243713,-0.05207038027421195,-0.08264581872294319,0.8354907940825845,-0.012555737828172006,-0.01826948197269412,-0.0608707415179002,0.726003606357462,0.6298879841104593,21,-0.01896575531857602,0.6171519518755079,-0.013256047313362298,0.7117522038046259,101,-0.021473631592463384,0.5724338881632137,-0.015778576191105734,0.6615759286125961,20221028,-0.01882394259295458,0.6203797854734606,202211,-0.024422063546457658,0.5351305767509821,,,,,
YEAR,2022,OHLCV_TOP5_COMMON_DATES,False,985,984,197,12,150,0.30589430894308944,0.6178861788617886,0.07621951219512195,0.2530487804878049,0.15040650406504066,-0.0039820688717765885,-0.005420137543514697,-0.008353851448177355,-0.011618417240864421,0.0441887647234027,0.07673691400837374,-0.05463569281214433,-0.08835801678479316,0.8684770980688254,-0.011116978747855435,-0.016839104890095113,-0.06159158585796532,0.7630019668137537,0.6658032907443369,4,-0.01762260061587632,0.6516754031341334,-0.01190502100497854,0.7472337358304583,18,-0.02019174640969698,0.6065957219836835,-0.014489210283875006,0.6967612415255723,20221115,-0.017593929586382787,0.6525969636308071,202211,-0.02434220023284709,0.5481984681899335,0.5716470573573007,0.06927744078816737,0.07744921195216078,0.6041666666666666,192
YEAR,2022,CHIP_TOP5,True,985,983,197,12,142,0.32451678535096645,0.624618514750763,0.0508646998982706,0.271617497456765,0.15666327568667346,-0.005382779757229012,-0.006633071997192854,-0.008068785560702962,-0.010932157932525059,0.044907232344770814,0.0798903840557213,-0.05757873249724822,-0.09149638849736584,0.8731534147713527,-0.010364929896879508,-0.01609107708830598,-0.061829104103426576,0.7824304490006256,0.685051704626723,4,-0.016872089619401332,0.6711088448184085,-0.011150466886162367,0.7668937206041304,18,-0.01943752163572114,0.6265187256652722,-0.01373091046060032,0.7170531411074622,20221115,-0.016842849315971308,0.6720141959478921,202211,-0.023784205644582144,0.5644939231333135,0.5729684126684692,0.07244961717225729,0.07605622186548623,0.6510416666666666,192
YEAR,2023,COMMON_STAGE_A_TOP30,False,6690,6674,223,12,389,0.35480970931974826,0.5002996703626011,0.1448906203176506,0.293676955349116,0.19133952652082709,-0.0023851827740095895,0.0025865670423227054,0.008696750450817615,0.017232924707574433,0.04870630332322482,0.08600861746460658,-0.04011958232175623,-0.06279068695475576,1.3697671045800257,0.00487139223317944,-0.0009432219503577446,-0.055475915109871134,1.1315700486600042,0.9764740888520699,29,-0.0017162031930960141,0.9573803339819302,0.0040939103958101885,1.1100908061392525,143,-0.0046120590478311504,0.8874304593729606,0.001181094366343007,1.0312163423781198,20230815,-0.0013320130813088942,0.9669014029360484,202302,-0.0029866266463571623,0.9276843431277768,,,,,
YEAR,2023,OHLCV_TOP5_COMMON_DATES,False,1115,1113,223,12,181,0.3728661275831087,0.5013477088948787,0.12578616352201258,0.31266846361185985,0.1985624438454627,-0.0023458752564605202,0.0011529624347384737,0.004764352395226977,0.010803229384219562,0.05047291380404542,0.091431725859319,-0.043993026802802905,-0.07062230842818708,1.2946578481258817,0.005396436955080692,-0.00042171500487481737,-0.05547710882888981,1.140314089164995,0.9898355795454447,5,-0.0012182873531790524,0.9707680424261448,0.0045952666799201495,1.1189459036106837,25,-0.004273197623627916,0.8993183609683566,0.0015224325692576354,1.0386959907851998,20230216,-0.0008614276619429328,0.9793119878236305,202302,-0.003801170327953832,0.9123104963569123,0.5306262631651624,0.03897331053068356,0.044929988979454466,0.6063348416289592,221
