feature,outcome,discovery_observations,same_day_spearman,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,raw_p_value,top_quintile_mean,bottom_quintile_mean,top_minus_bottom_effect,bh_fdr_q_value
investment_trust_net_volume_ratio_1d,net_return,15100,0.017182587984048512,0.0001837246320447138,0.03446303148478118,0.048,-0.006542270648392467,-0.0003981797762209968,-0.00614409087217147,0.17806451612903226
investment_trust_net_volume_ratio_3d,path_success,15100,0.000519482724860889,-0.017431151691134326,0.018754538388751518,0.95,0.34773519163763067,0.37536829699469654,-0.027633105357065868,0.9754464285714286
investment_trust_net_volume_ratio_3d,downside_first,15100,-0.008277505336273855,-0.025804116841841925,0.00970308594759222,0.378,0.5442508710801394,0.5203299941072481,0.023920876972891247,0.5874324324324324
investment_trust_net_volume_ratio_3d,mae10,15100,0.05270045594637471,0.03455529997712694,0.06963751017906221,0.0,-0.0694120187832491,-0.07340180322750314,0.0039897844442540464,0.0
investment_trust_net_volume_ratio_3d,mfe10,15100,0.013668579650140684,-0.005266038639405082,0.030273294313820535,0.152,0.09292193648007702,0.09959028087411968,-0.006668344394042666,0.329811320754717
investment_trust_net_volume_ratio_3d,net_return,15100,0.021755445099789633,0.0036039802223800637,0.038235364643484544,0.018,-0.005502959228475805,-0.0017615915001623697,-0.0037413677283134354,0.07961538461538462
investment_trust_net_volume_ratio_5d,path_success,15100,0.008453079167603803,-0.009453581862102304,0.026496829036025984,0.372,0.34831460674157305,0.36469933184855235,-0.016384725106979303,0.586027397260274
investment_trust_net_volume_ratio_5d,downside_first,15100,-0.015024860113586948,-0.03503967272292501,0.001996126668855228,0.104,0.5427306775621382,0.5289532293986637,0.013777448163474482,0.2875
investment_trust_net_volume_ratio_5d,mae10,15100,0.05533113090089698,0.038009037615430216,0.07239596436134015,0.0,-0.07021151488859968,-0.07375219182723292,0.003540676938633233,0.0
investment_trust_net_volume_ratio_5d,mfe10,15100,0.017850011135812548,0.0011459086563520397,0.03706567082739679,0.038,0.09254015447661014,0.0978872428213347,-0.005347088344724554,0.14566666666666667
investment_trust_net_volume_ratio_5d,net_return,15100,0.031965078399765506,0.014097163553420567,0.05027845378165909,0.0,-0.0053689967823481325,-0.004246188042454526,-0.0011228087398936068,0.0
investment_trust_consecutive_buy_days_5d,path_success,15100,0.001360342325288852,-0.015766223811892025,0.019703165024671756,0.89,0.34363081617086194,,,0.9476851851851853
investment_trust_consecutive_buy_days_5d,downside_first,15100,-0.01942482557347755,-0.03716284848381729,-0.0018186896311791574,0.028,0.549580472921434,,,0.115
investment_trust_consecutive_buy_days_5d,mae10,15100,0.07305680340691625,0.05651588846376215,0.09013638759494436,0.0,-0.07032693574899156,,,0.0
investment_trust_consecutive_buy_days_5d,mfe10,15100,0.014021098522195144,-0.0036259975453385913,0.03192830661017552,0.124,0.09044014706961931,,,0.2910204081632653
investment_trust_consecutive_buy_days_5d,net_return,15100,0.02702507252605987,0.00903264893001572,0.04498707898941752,0.0,-0.006932478190496132,,,0.0
investment_trust_sign_persistence_5d,path_success,15100,0.0003145493395154009,-0.01707914567207808,0.017609916105035657,0.994,0.33804238143289606,0.37978468899521534,-0.04174230756231928,0.994
investment_trust_sign_persistence_5d,downside_first,15100,-0.006054348547783727,-0.023956384177754114,0.010119650325641346,0.458,0.5583585603767238,0.5119617224880383,0.04639683788868554,0.6840259740259741
investment_trust_sign_persistence_5d,mae10,15100,0.04968674233404487,0.034750429870602596,0.0687191812698364,0.0,-0.07204000672326526,-0.07154750715328495,-0.0004924995699803064,0.0
investment_trust_sign_persistence_5d,mfe10,15100,0.009785942754618552,-0.006784686924459495,0.027328298985083575,0.294,0.08968823187834297,0.10270359970161468,-0.0130153678232717,0.5227272727272727
investment_trust_sign_persistence_5d,net_return,15100,0.024642587077581168,0.006667179792830688,0.042044168885063044,0.006,-0.00781738003238114,-0.0015067708680284292,-0.00631060916435271,0.0345
dealer_net_volume_ratio_1d,path_success,15100,0.011657063658939322,-0.004751103458815586,0.02887954753812039,0.132,0.37209302325581395,0.35408953214405925,0.0180034911117547,0.29634615384615387
dealer_net_volume_ratio_1d,downside_first,15100,-0.0058165736155062295,-0.023066950727072853,0.012315729626187537,0.486,0.5355481727574751,0.5425782564792999,-0.007030083721824787,0.6871951219512196
dealer_net_volume_ratio_1d,mae10,15100,0.0050263330793385375,-0.013212378058460345,0.020912533298371498,0.604,-0.07417711225934148,-0.07699466790784523,0.00281755564850375,0.7804494382022471
dealer_net_volume_ratio_1d,mfe10,15100,0.014713494974030607,-0.001176928910155807,0.030480255117663765,0.074,0.10186001811120754,0.09455672742372297,0.007303290687484573,0.24314285714285713
dealer_net_volume_ratio_1d,net_return,15100,0.003882109210957275,-0.011959519046012976,0.020628199858649308,0.602,-0.003957462386449161,-0.006487754094033623,0.002530291707584462,0.7804494382022471
dealer_net_volume_ratio_3d,path_success,15100,0.012673948330708484,-0.0031904592031273354,0.027161090455196997,0.118,0.3706896551724138,0.3488372093023256,0.021852445870088222,0.2875
dealer_net_volume_ratio_3d,downside_first,15100,-0.0034226333931156824,-0.022110887915149525,0.013967652488449401,0.64,0.5444297082228117,0.5451827242524917,-0.0007530160296800315,0.7952127659574468
dealer_net_volume_ratio_3d,mae10,15100,0.010900367415693318,-0.005415252977209241,0.027319877841043984,0.19,-0.07519125285125813,-0.0783193511441807,0.003128098292922571,0.3767241379310345
dealer_net_volume_ratio_3d,mfe10,15100,0.025128659824685106,0.010025801259410773,0.04073253278237799,0.0,0.1047989184104016,0.09483150907452402,0.009967409335877586,0.0
dealer_net_volume_ratio_3d,net_return,15100,0.00758935612162944,-0.008886271808056255,0.023479643349414214,0.338,-0.004263981121910373,-0.007324521849904315,0.0030605407279939417,0.5633333333333334
dealer_net_volume_ratio_5d,path_success,15100,0.009778192264494147,-0.006251963673462995,0.027623102223058905,0.256,0.36433078711391564,0.3506450545815415,0.01368573253237415,0.46730158730158733
dealer_net_volume_ratio_5d,downside_first,15100,-0.000719263729846575,-0.017936754559388448,0.015678639945544685,0.962,0.5440053138492196,0.5428382401587827,0.0011670736904368928,0.9790265486725663
