stock_id,name,signal_date,entry_date,entry_price,baseline_status,baseline_trade_completed,forward_1d_date,forward_1d_close,forward_1d_close_return,forward_1d_mfe,forward_1d_mae,forward_1d_observed_stock_bars,forward_1d_complete_stock_window,forward_3d_date,forward_3d_close,forward_3d_close_return,forward_3d_mfe,forward_3d_mae,forward_3d_observed_stock_bars,forward_3d_complete_stock_window,forward_5d_date,forward_5d_close,forward_5d_close_return,forward_5d_mfe,forward_5d_mae,forward_5d_observed_stock_bars,forward_5d_complete_stock_window,forward_8d_date,forward_8d_close,forward_8d_close_return,forward_8d_mfe,forward_8d_mae,forward_8d_observed_stock_bars,forward_8d_complete_stock_window
1218,泰山,20221130,20221201,47.05,entered,True,20221201,45.15,-0.040382571732199724,0.012752391073326264,-0.05313496280552599,1,True,20221205,41.55,-0.1168969181721573,0.012752391073326264,-0.1168969181721573,3,True,20221207,38.4,-0.18384697130712002,0.012752391073326264,-0.1923485653560042,5,True,20221212,39.0,-0.17109458023379376,0.012752391073326264,-0.1923485653560042,8,True
1301,台塑,20240927,20240930,53.2,entered,True,20240930,53.5,0.005639097744360777,0.02819548872180455,-0.018796992481203034,1,True,20241004,53.0,-0.003759398496240629,0.03571428571428559,-0.018796992481203034,3,True,20241008,50.8,-0.04511278195488733,0.03571428571428559,-0.048872180451127845,5,True,20241014,50.0,-0.06015037593984962,0.03571428571428559,-0.0892857142857143,8,True
1301,台塑,20250717,20250718,38.0,entered,True,20250718,38.8,0.021052631578947212,0.03815789473684217,-0.003947368421052588,1,True,20250722,38.95,0.025000000000000133,0.047368421052631504,-0.003947368421052588,3,True,20250724,39.3,0.03421052631578947,0.06842105263157894,-0.003947368421052588,5,True,20250729,38.8,0.021052631578947212,0.07631578947368411,-0.003947368421052588,8,True
1301,台塑,20251023,20251027,40.8,entered,True,20251027,40.0,-0.019607843137254832,0.011029411764705843,-0.022058823529411686,1,True,20251029,39.15,-0.0404411764705882,0.011029411764705843,-0.0404411764705882,3,True,20251031,38.1,-0.06617647058823517,0.011029411764705843,-0.06740196078431371,5,True,20251105,36.85,-0.09681372549019596,0.011029411764705843,-0.10539215686274506,8,True
1301,台塑,20260127,20260128,51.3,entered,True,20260128,51.3,0.0,0.029239766081871288,-0.015594541910331383,1,True,20260130,47.3,-0.07797270955165692,0.029239766081871288,-0.08089668615984402,3,True,20260203,44.95,-0.12378167641325521,0.029239766081871288,-0.14814814814814803,5,True,20260206,45.75,-0.10818713450292394,0.029239766081871288,-0.14814814814814803,8,True
1301,台塑,20260603,20260604,52.0,entered,True,20260604,50.8,-0.023076923076923106,0.02115384615384608,-0.02692307692307694,1,True,20260608,45.85,-0.1182692307692308,0.02115384615384608,-0.1317307692307692,3,True,20260610,44.4,-0.1461538461538462,0.02115384615384608,-0.1461538461538462,5,True,20260615,47.25,-0.09134615384615385,0.02115384615384608,-0.1711538461538461,8,True
1301,台塑,20260703,20260706,63.2,entered,True,20260706,60.4,-0.044303797468354444,0.0015822784810126667,-0.05063291139240511,1,True,20260708,58.0,-0.08227848101265822,0.0015822784810126667,-0.10601265822784811,3,True,20260713,60.2,-0.04746835443037978,0.0015822784810126667,-0.1344936708860759,5,True,20260716,65.6,0.037974683544303556,0.08544303797468333,-0.1344936708860759,8,True
1301,台塑,20260827,20260828,63.2,censored,False,20260828,62.7,-0.007911392405063333,0.025316455696202445,-0.017405063291139222,1,True,,,,,,0,False,,,,,,0,False,,,,,,0,False
1303,南亞,20230130,20230131,76.4,entered,True,20230131,75.4,-0.01308900523560208,0.005235602094240788,-0.017015706806282838,1,True,20230202,75.2,-0.015706806282722585,0.005235602094240788,-0.028795811518324665,3,True,20230206,74.4,-0.02617801047120416,0.005235602094240788,-0.030104712041884918,5,True,20230209,74.8,-0.020942408376963484,0.005235602094240788,-0.030104712041884918,8,True
1303,南亞,20231115,20231116,68.3,entered,True,20231116,68.4,0.0014641288433383526,0.0014641288433383526,-0.014641288433382194,1,True,20231120,67.4,-0.013177159590043841,0.007320644216691097,-0.020497803806734827,3,True,20231122,68.5,0.002928257686676483,0.019033674963396807,-0.020497803806734827,5,True,20231127,67.7,-0.008784773060029227,0.019033674963396807,-0.020497803806734827,8,True
1303,南亞,20250724,20250725,32.35,entered,True,20250725,33.65,0.04018547140649131,0.057187017001545604,-0.010819165378670781,1,True,20250729,35.85,0.10819165378670781,0.15301391035548662,-0.010819165378670781,3,True,20250731,40.95,0.26584234930448236,0.2921174652241112,-0.010819165378670781,5,True,20250805,36.8,0.13755795981452845,0.2921174652241112,-0.010819165378670781,8,True
