period,regime_feature,regime_bucket,feature_min,feature_max,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
2023,taiex_close_ma20,Q5,0.04806364453881895,0.06753759196715148,45,45,0.010929882022096571,-0.007462686567164201,0.4,1.7045101311264272,45,0.005073758686977735,-0.013208119363336128,0.3333333333333333,1.268124093183068,0.05697628177557144,-0.028440930195864845,45,0.01093273985312951,0.003278688524590123,0.5111111111111111,1.5670780895690684
2023,taiex_ma20_slope,Q1,0.00013381395948286468,0.0011901759840684534,204,204,-0.0026134981702140205,-0.015412158711684887,0.3382352941176471,0.8943564466043392,204,-0.008387646004612528,-0.021105885028511566,0.31862745098039214,0.7052928699148558,0.05759610990965566,-0.03829624036542597,204,-0.004286234289474372,-0.010600398604882932,0.4166666666666667,0.8660358749814575
2023,taiex_ma20_slope,Q2,0.0012700233390803284,0.0022728380917755864,172,172,-0.002993195759101877,-0.018013624892922464,0.36627906976744184,0.8771297267598651,172,-0.00876485662414621,-0.0237050076878437,0.3430232558139535,0.6867185129721246,0.05687684652623214,-0.037952431403985146,172,0.003981091130191381,-0.00408692185007975,0.47674418604651164,1.1567680930173954
2023,taiex_ma20_slope,Q3,0.0023264074086490893,0.0032027528136837624,105,105,0.008498452353262215,-0.00484848484848488,0.44761904761904764,1.4666298684733816,105,0.0026601302084988763,-0.010602055939843457,0.4095238095238095,1.1241905098186018,0.06354129047065389,-0.03244102961942454,105,0.01592766329286475,0.012658227848101333,0.5714285714285714,1.907724005281016
2023,taiex_ma20_slope,Q4,0.0032168071563398737,0.004528293081592194,134,134,0.0045915241442734765,-0.011015441830382389,0.34328358208955223,1.2380383876296754,134,-0.0012268355322040457,-0.01675406538382653,0.31343283582089554,0.9466954352018229,0.05670599008825146,-0.03464284699619491,134,0.005702940887699303,-0.00971055889754674,0.373134328358209,1.2475727213479753
2023,taiex_ma20_slope,Q5,0.004581407340197963,0.005158415316242504,33,33,0.007790260310377015,-0.00766283524904221,0.36363636363636365,1.499535846972693,33,0.0019516855850094787,-0.013407738054173135,0.3333333333333333,1.1016283895368364,0.06179418800289522,-0.027941319888593726,33,0.011280626348485017,-0.001779359430605032,0.48484848484848486,1.6621427637207578
2023,taiex_close_ma60,Q1,-0.0077200878301877385,0.030162042569572556,100,100,-0.01628960920291219,-0.019559236755770648,0.24,0.4074650259158868,100,-0.02198569023690466,-0.025247341815781837,0.22,0.3077959456872059,0.04902727770391827,-0.04026436531085884,100,-0.020673866196090775,-0.020680744898868453,0.28,0.4162429277295529
2023,taiex_close_ma60,Q2,0.030162042569572556,0.04937096704538502,271,271,0.006905062868422282,-0.008313539192399078,0.42066420664206644,1.3363841731578714,271,0.0010765677034157367,-0.014065914982953079,0.3985239852398524,1.045156963924137,0.06451181020351816,-0.03533461738801818,271,0.006499668408599109,0.0,0.4981549815498155,1.2525162897814373
2023,taiex_close_ma60,Q3,0.04937096704538502,0.06596215021787266,183,183,0.002503870504468265,-0.012195121951219523,0.3825136612021858,1.1104992386948873,183,-0.003300891582738092,-0.017905031153601845,0.3551912568306011,0.8738629309161972,0.056786616663748284,-0.03584341056204185,183,0.014469002170778057,0.0,0.4972677595628415,1.6949168583200873
2023,taiex_close_ma60,Q4,0.06596215021787266,0.0854219635661353,94,94,0.0001721021915906915,-0.00989102306697004,0.30851063829787234,1.0090394752267065,94,-0.005621589933041264,-0.01563356104739902,0.26595744680851063,0.7552608132975024,0.05387969377032333,-0.03350321727439534,94,0.0029506846507339458,-0.011926128849423734,0.4148936170212766,1.1347018204270738
