stock_id,name,signal_date,entry_date,entry_price,exit_reason,actual_exit_date,actual_exit_price,counterfactual_day8_date,counterfactual_day8_close,actual_return,counterfactual_day8_return,difference,actual_net_return_slippage_0_1,counterfactual_day8_net_return_slippage_0_1,net_difference,actual_nonpositive_to_day8_positive,day8_available
1477,聚陽,20220812,20220815,185.0,Day 5 Weakness,20220822,174.5,20220824,183.0,-0.05675675675675673,-0.010810810810810811,0.04594594594594592,-0.062216475626225065,-0.016547264308207632,0.04566921131801743,False,True
1477,聚陽,20230616,20230619,269.0,Close Confirmed Stop,20230620,260.5,20230630,302.0,-0.03159851301115246,0.12267657992565062,0.15427509293680308,-0.03723219122233219,0.11620465485623685,0.15343684607856906,True,True
1477,聚陽,20230621,20230626,269.0,Day 8 Time Stop,20230705,306.5,20230705,306.5,0.1394052044609666,0.1394052044609666,0.0,0.13279282377807292,0.13279282377807292,0.0,False,True
1477,聚陽,20240715,20240716,453.5,Day 5 Weakness,20240723,451.5,20240729,445.5,-0.004410143329658167,-0.01764057331863289,-0.013230429988974723,-0.010166840206584933,-0.023332185964729153,-0.01316534575814422,False,True
1503,士電,20230714,20230717,164.0,Close Confirmed Stop,20230719,152.0,20230726,149.0,-0.07317073170731703,-0.09146341463414631,-0.018292682926829285,-0.07853877343237059,-0.096720665826069,-0.018181892393698412,False,True
1503,士電,20240314,20240315,210.0,Day 8 Time Stop,20240326,320.0,20240326,320.0,0.5238095238095237,0.5238095238095237,0.0,0.514996741658747,0.514996741658747,0.0,False,True
1503,士電,20260119,20260120,205.5,Trailing Stop,20260126,229.0,20260129,241.5,0.11435523114355228,0.17518248175182483,0.06082725060827254,0.10789454745038826,0.16837477490882624,0.06048022745843798,False,True
1504,東元,20230323,20230324,41.7,Day 8 Time Stop,20230407,43.05,20230407,43.05,0.03237410071942426,0.03237410071942426,0.0,0.026397012533354122,0.026397012533354122,0.0,False,True
1504,東元,20230519,20230522,51.1,Day 5 Weakness,20230529,51.2,20230531,51.2,0.001956947162426559,0.001956947162426559,0.0,-0.0038466519413507985,-0.0038466519413507985,0.0,False,True
1504,東元,20240216,20240219,47.9,Day 8 Time Stop,20240229,49.2,20240229,49.2,0.02713987473903967,0.02713987473903967,0.0,0.021208286513047854,0.021208286513047854,0.0,False,True
1504,東元,20240306,20240307,51.1,Day 5 Weakness,20240314,51.2,20240318,52.8,0.001956947162426559,0.03326810176125239,0.03131115459882583,-0.0038466519413507985,0.027289392989948077,0.031136044931298876,False,True
1504,東元,20240318,20240319,53.3,Day 8 Time Stop,20240328,57.1,20240328,57.1,0.07129455909943716,0.07129455909943716,0.0,0.06509264900709652,0.06509264900709652,0.0,False,True
1504,東元,20240607,20240611,59.6,Day 5 Weakness,20240618,55.2,20240620,54.3,-0.0738255033557047,-0.08892617449664442,-0.015100671140939714,-0.0791836107377456,-0.09421469809445558,-0.01503108735670998,False,True
1504,東元,20241007,20241008,50.7,Close Confirmed Stop,20241014,49.2,20241018,49.6,-0.029585798816568087,-0.021696252465483234,0.007889546351084853,-0.035211382443108445,-0.027374075381641917,0.007837307061466528,False,True
1504,東元,20250818,20250819,59.4,Trailing Stop,20250827,71.1,20250828,68.5,0.1969696969696968,0.15319865319865333,-0.04377104377104346,0.19006390545529958,0.14653122601864302,-0.04353267943665656,False,True
1504,東元,20260813,20260814,70.8,Day 8 Time Stop,20260825,70.8,20260825,70.8,0.0,0.0,0.0,-0.005798425469441984,-0.005798425469441984,0.0,False,True
1513,中興電,20220810,20220811,62.1,Day 5 Weakness,20220818,61.9,20220822,65.0,-0.0032206119162641045,0.04669887278582929,0.0499194847020934,-0.008980009769890782,0.04065298010529245,0.04963298987518323,True,True
1513,中興電,20230215,20230216,87.8,Day 8 Time Stop,20230301,96.5,20230301,96.5,0.09908883826879267,0.09908883826879267,0.0,0.09271822511113915,0.09271822511113915,0.0,False,True
