slice_type,slice,row_type,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf,delta_success_rate,delta_downside_first_rate,delta_mae10_mean,delta_mfe10_mean,delta_net_mean,delta_net_pf
YEAR,2022,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.007445035746922513,0.026374394298922632,0.00029857999761463694,-0.003503578792064921,-0.0033775872302420386,-0.05852476116518124
YEAR,2023,COHORT,CZSC_ONLY_ALL,20855,20821,239,832,0.20272801498487103,0.3566111137793574,0.4406608712357716,0.4487296479515873,0.46409874645790306,0.02625458208141299,0.04872052441339308,-0.027347124453042316,-0.04258894020427245,0.001393829814193325,-0.0044009615333038925,1.0510431943813978,0.8554453250195376,,,,,,
YEAR,2023,COHORT,STAGE_A_TOP30,7170,7154,239,394,0.3500139781940173,0.5079675705898797,0.14201845121610288,0.4654738607771876,0.48462398658093375,0.04749436279049719,0.08475932088416942,-0.04133254452187431,-0.06410525028376739,0.0038629691149523696,-0.0019458101865242122,1.1030889226907952,0.9520465917045581,,,,,,
YEAR,2023,COHORT,STAGE_A_AND_CZSC,1767,1760,239,235,0.32443181818181815,0.5238636363636363,0.15170454545454545,0.4403409090909091,0.47102272727272726,0.04401317720191208,0.08202118837500912,-0.043559473852921034,-0.06497356125703255,-3.07708138681112e-05,-0.005816725930407902,0.9992054170883506,0.8614225804596927,,,,,,
YEAR,2023,COHORT,STAGE_A_WITHOUT_CZSC,5403,5394,239,362,0.35836114200964037,0.5027808676307007,0.13885799035965887,0.4736744530960326,0.4890619206525769,0.04863023350534885,0.08565274194759583,-0.04060592316061324,-0.0638219304259723,0.005133451553722124,-0.0006827750161061001,1.1385053957053866,0.9829821563276316,,,,,,
YEAR,2023,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.14728596320914628,-0.15135645681052234,0.021516310079494935,-0.03603879647077634,-0.0024551513467796805,-0.09660126668502045
YEAR,2023,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.02558216001219915,0.015896065773756574,-0.00086831097326516,-0.0027381325091603015,-0.00387091574388369,-0.09062401124486541
YEAR,2023,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.03392932382782221,0.021082768732935575,-0.001151630831060249,-0.00363155357258671,-0.005133950914301802,-0.12155957586793897
YEAR,2024,COHORT,CZSC_ONLY_ALL,23026,22981,242,942,0.2293198729385144,0.4314433662590836,0.339236760802402,0.4293981985118141,0.44049432139593575,0.029836682582455584,0.054976216798639906,-0.03459530457321814,-0.05411279455983459,-0.0029445538309880864,-0.00871405863265961,0.9104072019151682,0.7588029801498429,,,,,,
YEAR,2024,COHORT,STAGE_A_TOP30,7260,7224,242,418,0.3504983388704319,0.5712901439645626,0.07821151716500553,0.44739756367663347,0.43521594684385384,0.05202997252565063,0.09154934835340288,-0.051214703672693034,-0.07970574463570587,-0.0024378259645743074,-0.0082106800988304,0.9439424161226297,0.8244063775622681,,,,,,
