stock_id,stock_name,eligible,failure_reasons,discovery_sessions,discovery_coverage,discovery_longest_missing_run_sessions,discovery_median_close,discovery_median_turnover_proxy,discovery_median_atr14_pct,discovery_p95_gap_pct,coverage_2020,sessions_2020,coverage_2021,sessions_2021,coverage_2022,sessions_2022
5314,世紀*,False,TURNOVER|PRICE|P95_GAP,692,0.9414965986394558,6,5.66,122320.0,4.96527604302709,8.035089979813591,0.9714285714285714,238,0.9221311475409836,225,0.9308943089430894,229
5315,光聯,False,TURNOVER,735,1.0,0,16.35,4018600.0,2.178180469940284,2.075777202072526,1.0,245,1.0,244,1.0,246
5317,凱美,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|ATR14|PRICE|P95_GAP|LONG_MISSING_RUN,0,0.0,735,,,,,0.0,0,0.0,0,0.0,0
5321,美而快,False,TURNOVER,735,1.0,0,46.5,10700800.0,5.1415127392321125,5.010781637562476,1.0,245,1.0,244,1.0,246
5324,士開,False,TURNOVER|PRICE,734,0.998639455782313,1,9.46,701490.0,1.4830570223857664,1.390472458188767,1.0,245,1.0,244,0.9959349593495935,245
5328,華容,False,TURNOVER,735,1.0,0,10.4,7228800.0,3.5118501913537985,3.3114097798112563,1.0,245,1.0,244,1.0,246
5340,建榮,False,TURNOVER,735,1.0,0,35.7,6847200.0,3.167676927634919,4.079766664481872,1.0,245,1.0,244,1.0,246
5344,立衛,False,TURNOVER,735,1.0,0,16.0,3214800.0,5.305351892890379,5.53365384615384,1.0,245,1.0,244,1.0,246
5345,馥鴻,False,2022_COVERAGE|TURNOVER|PRICE|P95_GAP,659,0.8965986394557823,1,6.05,51239.99999999999,5.2340655984659135,9.066849738264814,0.9551020408163265,234,0.9098360655737705,222,0.8252032520325203,203
5347,世界,True,,735,1.0,0,101.5,556336000.0,3.4063426463578415,3.2662152530292228,1.0,245,1.0,244,1.0,246
5348,正能量智能,False,2020_COVERAGE|TURNOVER|PRICE,698,0.9496598639455782,4,8.0,140670.0,4.639310843705947,4.9357454037779025,0.8816326530612245,216,0.9836065573770492,240,0.983739837398374,242
5349,先豐,False,2020_COVERAGE|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|LONG_MISSING_RUN,198,0.2693877551020408,536,24.45,18400650.0,3.370819960827803,3.055821371610841,0.8081632653061225,198,0.0,0,0.0,0
5351,鈺創,True,,728,0.9904761904761905,7,31.825000000000003,247499650.0,5.417319760326776,5.193675889328062,0.9714285714285714,238,1.0,244,1.0,246
5353,台林,False,TURNOVER,735,1.0,0,17.7,1605400.0,1.954893970552831,2.535411179397122,1.0,245,1.0,244,1.0,246
5355,佳總,False,TURNOVER|PRICE,735,1.0,0,6.41,1285200.0,3.084568207973062,2.908875989994279,1.0,245,1.0,244,1.0,246
