period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,p25_daily_turnover_proxy,median_abs_return_pct,p90_abs_return_pct,abs_return_ge_5pct_rate,worst_single_day_return_pct,median_atr14_pct,p75_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,beta_0050,correlation_0050,upside_capture,downside_capture,idiosyncratic_volatility_annualized_pct,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,maximum_close_drawdown_pct,market_aligned_return_sessions,forward_evaluable_events,median_mfe10_pct,median_mae10_pct,median_day10_close_return_pct,plus_8pct_within_10d_close_hit_rate,minus_5pct_within_10d_close_hit_rate
2020,20200101,20201231,2376,技嘉,245,245,1.0,0,0,71.4,481927448.0,295792539.9,1.3539651837524147,4.670838627700133,0.08979591836734693,-9.899749373433576,3.508227612653967,4.292081255717844,39.28923116067878,0.20530110493678133,-0.009972815379123411,0.8137522760230028,0.44384413059137123,0.9154045738637573,0.6366618099535041,38.25010697752526,0.7339449541284404,2.972204346833297,-35.33898305084746,245,245,3.9772727272727293,-2.5125628140703515,1.679104477611948,0.27346938775510204,0.3224489795918367
2021,20210101,20211231,2376,技嘉,244,244,1.0,0,0,100.25,1024716239.8,605526826.2,1.746758199847448,4.871194379391101,0.09016393442622951,-9.956709956709952,4.0755532696024135,5.012872545076452,41.87482258288284,0.2564284235896931,0.1488539546681121,0.880817867630127,0.3335429018027662,0.9963833748435481,0.26790710755743236,45.382004274456214,0.9290338048429603,3.6056149732620337,-36.328125,244,244,4.972431284460887,-3.1274444071963337,1.822559887076014,0.36065573770491804,0.30327868852459017
2022,20220101,20221231,2376,技嘉,246,246,1.0,0,1,105.25,780119628.75,488904145.59999996,1.4925373134328401,4.307615729218515,0.061224489795918366,-8.117249154453221,3.679097931553853,4.076094919549624,39.17735768539822,0.21317290985293402,0.11617403082560077,0.7958508005498034,0.44298542294396315,0.9352209623908461,0.8948511473038732,36.10386488603732,0.9345794392523255,2.928799426747436,-47.92332268370607,245,236,3.587516087516096,-4.43452380952381,-1.0022284143288207,0.2966101694915254,0.4491525423728814
2023,20230101,20231231,2376,技嘉,239,239,1.0,0,0,233.0,4363383394.5,963364197.25,1.5923566878981,5.758064297616949,0.12552301255230125,-9.893455098934556,4.3981962167565785,5.6772875321677585,45.773304037014,0.2553895564085023,0.01740723030925477,1.1704045854632783,0.3100024674182157,1.96095038944774,1.0374982593833242,49.44148723583187,0.8620689655172376,3.558088139706205,-38.6459802538787,239,239,5.042016806722693,-2.1367521367521403,2.522522522522519,0.3514644351464435,0.3263598326359833
2024,20240101,20241231,2376,技嘉,242,242,1.0,0,0,285.0,2580751661.0,1511055265.125,1.4815627743634763,4.123711340206193,0.07024793388429752,-12.0,3.5431075476052496,4.160550967031199,40.69446882437049,0.1930564387550288,0.10063225823360364,0.8376661214104848,0.4930371443096972,0.7006639331499532,0.8547529291553835,37.369055656931366,0.8100446853325893,3.5782618273943854,-41.73228346456693,242,242,3.2573289902280145,-3.731551099972158,0.0904159132007254,0.21074380165289255,0.39669421487603307
2025,20250101,20251231,2376,技嘉,243,243,1.0,0,0,268.0,953276480.0,675185606.5,1.3011152416356864,3.6390274807951144,0.05761316872427984,-9.950248756218905,2.7978492976994325,3.227192445042619,32.413106905320774,0.17772982278389132,0.050315536435583466,1.0765077666628344,0.6889250910939152,0.8846571019621509,1.0987584317427928,28.407237649050586,0.6980802792321161,3.12937639220465,-36.713286713286706,237,233,2.091254752851701,-3.2727272727272716,-0.5444646098003658,0.15879828326180256,0.33476394849785407
2020,20200101,20201231,2324,仁寶,245,245,1.0,0,0,18.85,217630073.70000002,155863242.4,0.5420054200542035,1.839249915608607,0.00816326530612245,-8.000000000000007,1.4586302126437607,1.8097774117676262,16.492685277225114,0.20619916321235837,-0.06361670489925962,0.5061729088529223,0.5593573691131742,0.3827691842386456,0.3938408086363289,17.463774635327667,0.26881720430107503,1.6262042946248505,-18.848167539267024,245,245,2.110817941952514,-1.2987012987012991,0.5405405405405572,0.02857142857142857,0.09387755102040816
2021,20210101,20211231,2324,仁寶,244,244,1.0,0,0,23.15,394332286.70000005,274776050.48749995,0.6249999999999922,2.027630862723112,0.00819672131147541,-9.489051094890499,1.6113725755691033,2.3936472559212216,15.031340697485193,0.28537761049116495,0.06017186171744889,0.22538123374182384,0.1755585083541039,0.2933877354583066,0.13142174695295286,23.03867927148996,0.2272727272727204,1.2101267867237318,-23.021582733812963,244,244,1.8907646474677242,-1.1287199347737475,0.6424100694683244,0.036885245901639344,0.11065573770491803
2022,20220101,20221231,2324,仁寶,246,246,1.0,0,0,22.8,308782346.07500005,228273461.0625,0.6600668054412617,1.5857424622227057,0.0040650406504065045,-10.236220472440937,1.6043802884893943,1.7800173134577575,16.19907233357728,0.20326086364150492,-0.08050357677384722,0.28623195043342753,0.31938220712966625,0.34408714773818816,0.3310404206186055,19.00050878411388,0.41672448484005864,1.2687214553619293,-24.448529411764696,246,246,1.5334081922530607,-1.3671875,0.22099474496473093,0.0040650406504065045,0.11788617886178862
2023,20230101,20231231,2324,仁寶,239,239,1.0,0,0,29.05,575830424.8,358337265.25,1.0245901639344246,2.923797925059018,0.03765690376569038,-9.724238026124821,2.1737417228980926,2.985312975304329,22.42055665780739,0.23320635152955793,-0.05096259021348117,0.5679281288826066,0.23345364608374097,1.1259648365350472,0.571563177124959,32.58248337353506,0.4024144869215318,2.2737952529369485,-24.189189189189186,239,239,3.4136546184738936,-1.5437392795883298,1.9298245614035148,0.20502092050209206,0.18828451882845187
