stock_id,stock_name,discovery_quality_score,liquidity_component,continuity_component,behavior_stability_component,tradable_volatility_component,gap_safety_component,trend_structure_quality_component,future_outcomes_used_for_universe_selection,industry_used_for_score_cluster_or_selection,discovery_quality_rank
3035,智原,0.6127272727272728,0.8848484848484849,0.5666666666666667,0.054545454545454564,1.0,0.17575757575757578,0.996969696969697,False,False,46
2492,華新科,0.6046969696969697,0.6848484848484848,0.5666666666666667,0.3151515151515152,0.8333333333333334,0.5151515151515151,0.806060606060606,False,False,47
2615,萬海,0.600909090909091,0.9333333333333333,0.5666666666666667,0.012121212121212088,1.0,0.06666666666666665,0.9515151515151515,False,False,48
2337,旺宏,0.59,0.8,0.5666666666666667,0.5151515151515151,0.5858585858585859,0.3939393939393939,0.4636363636363636,False,False,49
6533,晶心科,0.5878787878787879,0.6181818181818182,0.5666666666666667,0.4363636363636364,1.0,0.024242424242424288,0.803030303030303,False,False,50
5274,信驊,0.5860606060606061,0.5878787878787879,0.5666666666666667,0.5636363636363637,1.0,0.06060606060606055,0.5696969696969697,False,False,51
1301,台塑,0.5785858585858585,0.7090909090909091,0.5666666666666667,0.6787878787878787,0.2828282828282829,0.9151515151515152,0.1828282828282828,False,False,52
2449,京元電子,0.5771212121212121,0.40606060606060607,0.5666666666666667,0.6545454545454545,0.43939393939393945,0.7212121212121212,0.9333333333333333,False,False,53
2891,中信金,0.5754545454545454,0.7393939393939394,0.5666666666666667,0.4121212121212121,0.1616161616161616,0.8363636363636364,0.8696969696969696,False,False,54
2610,華航,0.5752020202020203,0.7878787878787878,0.5666666666666667,0.22424242424242424,0.9343434343434345,0.2666666666666667,0.5323232323232323,False,False,55
9958,世紀鋼,0.5733333333333334,0.34545454545454546,0.5666666666666667,0.7454545454545455,0.8686868686868687,0.7393939393939394,0.20303030303030306,False,False,56
2609,陽明,0.5715151515151515,0.9696969696969697,0.5666666666666667,0.0060606060606061,1.0,0.09090909090909094,0.5545454545454546,False,False,57
2481,強茂,0.5701010101010101,0.5636363636363636,0.5666666666666667,0.19393939393939397,1.0,0.32727272727272727,0.9434343434343435,False,False,58
2885,元大金,0.5682828282828283,0.4909090909090909,0.5666666666666667,0.9878787878787879,0.21212121212121213,0.896969696969697,0.13131313131313133,False,False,59
4927,泰鼎-KY,0.5660606060606062,0.05454545454545454,0.5666666666666667,0.7333333333333334,0.98989898989899,0.5515151515151515,0.8878787878787879,False,False,60
2353,宏碁,0.5660101010101011,0.41818181818181815,0.5666666666666667,0.6484848484848484,0.41919191919191917,0.7575757575757576,0.797979797979798,False,False,61
6278,台表科,0.5640909090909091,0.5272727272727272,0.5666666666666667,0.35151515151515156,0.9343434343434344,0.4727272727272728,0.6121212121212121,False,False,62
1303,南亞,0.5636363636363637,0.5393939393939394,0.5666666666666667,0.7393939393939394,0.26262626262626265,0.8787878787878788,0.403030303030303,False,False,63
8069,元太,0.5606060606060607,0.8121212121212121,0.5666666666666667,0.06666666666666665,1.0,0.33333333333333337,0.47575757575757577,False,False,64
2409,友達,0.5604545454545454,0.8909090909090909,0.030303030303030304,0.3090909090909091,0.9747474747474747,0.406060606060606,0.8303030303030303,False,False,65
3707,漢磊,0.5575757575757576,0.7575757575757576,0.5666666666666667,0.10909090909090913,1.0,0.19393939393939397,0.6363636363636364,False,False,66
2344,華邦電,0.5568181818181819,0.7212121212121212,0.5666666666666667,0.21212121212121215,0.9545454545454546,0.35757575757575755,0.41818181818181815,False,False,67
6415,矽力*-KY,0.5533333333333333,0.8727272727272727,0.06060606060606061,0.7515151515151515,1.0,0.018181818181818188,0.2090909090909091,False,False,68
2884,玉山金,0.5523484848484849,0.6363636363636364,0.5666666666666667,0.49090909090909096,0.05808080808080808,0.9090909090909091,0.8212121212121212,False,False,69
3481,群創,0.5509090909090909,0.9030303030303031,0.030303030303030304,0.2727272727272727,0.9494949494949496,0.3090909090909091,0.9121212121212121,False,False,70
3006,晶豪科,0.5506060606060607,0.7272727272727273,0.5666666666666667,0.048484848484848464,1.0,0.09696969696969693,0.8606060606060606,False,False,71
2618,長榮航,0.55,0.7818181818181819,0.5666666666666667,0.1333333333333333,0.8787878787878789,0.22424242424242424,0.603030303030303,False,False,72
