period,setup,entry_gap_bucket,sample_size,success_rate,gross_average_return,gross_profit_factor,average_mfe_10d,average_mae_10d
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,2% to 3%,9,0.2222222222222222,-0.005496532380188361,0.8614464652807832,0.05597771405983695,-0.07277950702444946
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,>= 3%,8,0.0,-0.07233530538025633,0.0,-0.009315112374871232,-0.12282866570873009
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,< -1%,5,0.2,-0.02276549609384131,0.419675548686612,0.01854956789095652,-0.06390545903767997
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,-1% to 0%,4,0.25,0.01872231585286105,2.4322571627438694,0.04485491501124583,-0.04424016381978843
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,0% to 1%,17,0.35294117647058826,0.017127467565085253,1.5241936300473145,0.07043710339629722,-0.05462192712417714
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,1% to 2%,4,0.5,0.03674555985807659,3.6456803097815134,0.05946233313455135,-0.019987121061342816
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,2% to 3%,3,0.0,-0.03546845735539391,0.19545726763412705,0.011651134282914385,-0.09156555184057096
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,>= 3%,3,0.0,-0.07894825432247114,0.0,0.003251332060876244,-0.1525867661744411
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,< -1%,202,0.3217821782178218,0.0017022034179831563,1.0471285050262211,0.0817883646910072,-0.06216043715081317
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,-1% to 0%,218,0.27522935779816515,-0.010414124657802329,0.7541372070748005,0.06583304718646817,-0.07303159655077868
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,0% to 1%,421,0.2921615201900237,-0.003921485561256346,0.8965867845671853,0.06836755121286091,-0.06763317043103804
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,1% to 2%,186,0.3172043010752688,-0.005594172639093767,0.8624844797434389,0.08571710782995655,-0.06566210401782578
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,2% to 3%,103,0.3592233009708738,0.004043848009851981,1.097559839399052,0.10577114040393652,-0.07752851395211219
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,>= 3%,133,0.3684210526315789,0.0049282104046592815,1.1161809965748946,0.1011193441927573,-0.07441806042214359
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,< -1%,195,0.2,-0.005542617957091393,0.8394696279593694,0.05469626515890484,-0.05834654958375889
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,-1% to 0%,343,0.22448979591836735,0.0011868654411882134,1.0399627236949052,0.05035455065669246,-0.05260142553865559
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,0% to 1%,819,0.19047619047619047,-0.009486011980452411,0.7254764161299104,0.04842983875522246,-0.055251789297018974
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,1% to 2%,304,0.2565789473684211,-0.005139433563880775,0.8582655553673281,0.05693207927699526,-0.059450616652713444
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,2% to 3%,98,0.336734693877551,0.010199115607006969,1.3057078431718876,0.07880644120235487,-0.05490002552901767
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,>= 3%,126,0.3492063492063492,0.0013749745880781027,1.034777028667083,0.08361570583911121,-0.06846410270815036
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,< -1%,12,0.16666666666666666,-0.00639442486749255,0.7594758372783353,0.027043339693981816,-0.039245242812949464
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,-1% to 0%,41,0.07317073170731707,-0.006698457187439874,0.6888094298477111,0.04486145578142593,-0.027878338877542666
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,0% to 1%,92,0.06521739130434782,-0.009841818168681338,0.5864221331835049,0.02240287012735927,-0.036840925188648004
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,1% to 2%,17,0.23529411764705882,-0.014117920987682667,0.6142826127685657,0.04912354641242086,-0.044093055737599474
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,2% to 3%,2,0.0,-0.05248699474225943,0.0,-0.012852254708320576,-0.09729601913928837
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,>= 3%,6,0.3333333333333333,-0.014820872813778993,0.750331399384143,0.033379912085790255,-0.11383263340236734
