period,setup,tail_case,removed_fraction_of_winners,removed_winners,remaining_evaluable,average_gross_return,median_gross_return,gross_profit_factor,average_net_return,median_net_return,net_profit_factor,tail_dependent,TAIL_DEPENDENT,net_tail_dependent
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,REMOVE_TOP_5PCT_WINNERS,0.05,6,266,-0.003679000437913455,-0.026102703865739096,0.890803222455397,-0.009442970753901464,-0.03174021774802287,0.744223969031869,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,ORIGINAL,0.0,0,36,0.0015544676652055056,-0.04411642385038167,1.0455504964719775,-0.0042385885331075865,-0.049645393570826535,0.8859051579235635,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_1PCT_WINNERS,0.01,1,35,-0.003581359293358715,-0.04519774011299438,0.8979707113317134,-0.009344744420091311,-0.05072536848963647,0.755444336871651,True,True,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_5PCT_WINNERS,0.05,1,35,-0.003581359293358715,-0.04519774011299438,0.8979707113317134,-0.009344744420091311,-0.05072536848963647,0.755444336871651,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,ORIGINAL,0.0,0,1263,-0.0028075433794887044,-0.05205479452054795,0.929041583391329,-0.008577965874538398,-0.05753056276322533,0.7999237302536861,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,REMOVE_TOP_1PCT_WINNERS,0.01,5,1258,-0.0035542213728214493,-0.05216425114513207,0.9105255154188762,-0.009320380023554875,-0.05764234139975794,0.7834679545147505,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,REMOVE_TOP_5PCT_WINNERS,0.05,25,1238,-0.006396147912555548,-0.052419354838709686,0.8415423418712294,-0.01214583361586364,-0.05789530750877106,0.7223127822265019,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,ORIGINAL,0.0,0,1885,-0.004685616521554918,-0.02962962962962956,0.8630514584683057,-0.010445509377549152,-0.035255993920887255,0.7221376623426975,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,REMOVE_TOP_1PCT_WINNERS,0.01,8,1877,-0.0054880354427199645,-0.03202846975088969,0.840279561195778,-0.011243325920852792,-0.037652777665854266,0.7021841688507775,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,REMOVE_TOP_5PCT_WINNERS,0.05,37,1848,-0.008188876145022485,-0.03632061944364784,0.7653580906171665,-0.013928477247889514,-0.0418990635836573,0.6367594594699285,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,ORIGINAL,0.0,0,170,-0.009945417633949568,-0.014472020759864201,0.622121028533937,-0.01567533114220658,-0.020179407983669434,0.4748084570199732,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_1PCT_WINNERS,0.01,1,169,-0.011059424118894112,-0.015037593984962405,0.5822658351086953,-0.016782796890773274,-0.020752842950704863,0.4410111799341618,False,False,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_5PCT_WINNERS,0.05,4,166,-0.013620510561576073,-0.01570001692906725,0.4946616551438992,-0.019328975861533208,-0.02139762477215642,0.3676332734818716,False,False,False
