year,period,setup,signals,evaluable_signals,outcome_observation_rate,active_signal_dates,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,37,37,1.0,31,0.4864864864864865,0.03586050507634672,0.029864248670233004,0.07150964812712846,0.0653071410897619,0.5675675675675675,0.5675675675675675,3.092398705741781,2.5281636363312208,0.04860869659355937,0.07815240616144813,-0.01320900230881716,-0.03593397120156451,5.165520762727056,0.2702702702702703,0.13513513513513514
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,1266,1265,0.9992101105845181,239,0.2972332015810277,-0.001334887696578086,-0.0071135320800771755,-0.05022831050228316,-0.055712830365834166,0.4007905138339921,0.39367588932806324,0.9645256735576365,0.8260600395914576,0.037595594792722606,0.0708497766555626,-0.04186649169046946,-0.06289465479627326,5.4742744521184825,0.23715415019762845,0.14466403162055336
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,2624,2622,0.9992378048780488,235,0.2139588100686499,-0.0010399435367193014,-0.006820338640203284,-0.014838141496090362,-0.020535595154298994,0.42181540808543094,0.39740655987795576,0.9649893105158377,0.7929116623504505,0.02973792182572804,0.05170940978503807,-0.028539594275885434,-0.045248807661499926,4.293555023321652,0.16704805491990846,0.08924485125858124
2023,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,357,357,1.0,126,0.13165266106442577,0.00658330259717782,0.000757333954596929,0.0031914893617019935,-0.002621757304396094,0.5238095238095238,0.4649859943977591,1.385806846330398,1.0381896837757303,0.019477768217900364,0.037142380823621785,-0.016406323438709,-0.024955489513733914,4.727152413586806,0.09243697478991597,0.047619047619047616
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,1224,1221,0.9975490196078431,181,0.20475020475020475,-0.006924173357090483,-0.012670891530091353,-0.017733990147783207,-0.023423947268654263,0.4250614250614251,0.4021294021294021,0.8004026635201921,0.6654096554378954,0.027931689870454895,0.0495225098456176,-0.0381563084804652,-0.053149264378552635,4.7542275803648675,0.15642915642915642,0.07125307125307126
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,324,323,0.9969135802469136,134,0.22291021671826625,-0.00027671578285569284,-0.0060610237050240994,-0.01552106430155209,-0.021238424912487442,0.4179566563467492,0.4055727554179567,0.9907490554212205,0.8170821584054809,0.028396140224832722,0.05202098487070478,-0.032182915847818856,-0.050728936219836235,4.231918781787164,0.16718266253869968,0.07739938080495357
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,42,42,1.0,34,0.47619047619047616,0.021326834625115133,0.015416669010094924,0.012933130699088191,0.0070674338121938666,0.5,0.5,1.7690594955678602,1.50606636248659,0.049793142023469204,0.07416459065379202,-0.02825078873196054,-0.048842225193472644,5.377452618916241,0.30952380952380953,0.11904761904761904
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,1277,1271,0.995301487862177,242,0.33752950432730133,-0.0017503543127901607,-0.0075269121103121615,-0.05232558139534882,-0.057800939661917024,0.3870967741935484,0.3815892997639654,0.9577213033947707,0.8316836131259474,0.05021447308426083,0.08794040447822206,-0.04949077588392866,-0.07400284292652244,5.240220476346905,0.2840283241542093,0.2006294256490952
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,2392,2382,0.995819397993311,237,0.24055415617128464,-0.003777059112833494,-0.009541778060816793,-0.02562539086929322,-0.031264224750885986,0.39378673383711166,0.37363560033585225,0.8890833647214679,0.7449729124342857,0.03141212763035986,0.05785018170554402,-0.035458435181432976,-0.05527940344208102,4.756198619547254,0.19185558354324098,0.11041141897565071
2024,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,174,174,1.0,99,0.13218390804597702,-0.004278634467766048,-0.010041460670045993,-0.01200359389038641,-0.017739267834261753,0.40229885057471265,0.367816091954023,0.8289714854991401,0.646860709967002,0.01948856543999092,0.03293604108302327,-0.021525847307736694,-0.03618927023914709,4.847923150327548,0.07471264367816093,0.05172413793103448
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,954,950,0.9958071278825996,161,0.22526315789473683,-0.004617695677734902,-0.010378863293887725,-0.019102751238499638,-0.02479490899794877,0.43894736842105264,0.4242105263157895,0.8707878977647064,0.7326797152891494,0.030786215067512637,0.05431326312514609,-0.05172740429938302,-0.06585178278596972,4.171637918021417,0.17894736842105263,0.0968421052631579
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,273,272,0.9963369963369964,123,0.2536764705882353,0.00029695776101751255,-0.0054901308191289185,-0.024126330003957974,-0.0297888829816723,0.4264705882352941,0.4117647058823529,1.0090128455807614,0.8479378384616888,0.029661340958175728,0.05562946621594198,-0.03296036086268036,-0.05606787256143655,4.556988973022298,0.22058823529411764,0.11764705882352941
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,36,36,1.0,30,0.2777777777777778,0.0015544676652055056,-0.0042385885331075865,-0.04411642385038167,-0.049645393570826535,0.4444444444444444,0.4166666666666667,1.0455504964719775,0.8859051579235635,0.024151739762716718,0.048670971911288774,-0.031998244137298064,-0.06215183749636034,6.196768824470784,0.19444444444444445,0.1111111111111111
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,1267,1263,0.9968429360694554,243,0.31116389548693585,-0.0028075433794887044,-0.008577965874538398,-0.05205479452054795,-0.05753056276322533,0.391132224861441,0.3847980997624703,0.929041583391329,0.7999237302536861,0.044009013549654884,0.07913085931152973,-0.0452053614275981,-0.06892086415243806,4.7674874296152625,0.2454473475851148,0.16468725257323832
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,1898,1885,0.9931506849315068,222,0.22652519893899203,-0.004685616521554918,-0.010445509377549152,-0.02962962962962956,-0.035255993920887255,0.3904509283819629,0.36923076923076925,0.8630514584683057,0.7221376623426975,0.029800177678377258,0.05473070705332865,-0.03777273463793293,-0.05663169680018353,4.567698650828621,0.1793103448275862,0.11458885941644563
2025,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,170,170,1.0,97,0.1,-0.009945417633949568,-0.01567533114220658,-0.014472020759864201,-0.020179407983669434,0.3764705882352941,0.34705882352941175,0.622121028533937,0.4748084570199732,0.017477859202820342,0.0307916415717209,-0.02317624228751427,-0.039002880654836654,2.735696623182463,0.07058823529411765,0.03529411764705882
